label,tweet,Analytic,Authentic,Tone,allure,OtherP
0.0,Finding out my internship keeps Coke products stocked in every kitchen on every floor nearly made me cry,89.52,99.0,20.23,5.56,0.0
0.0,"I 'm sorry but I 'll never understand people complaining about free DLC . Sure it could have been included in the base game , but I 'm still getting the content and for free so who cares",10.19,59.49,93.93,16.67,0.0
0.0,"back in the office . Everybody asks me , "" Happy to be back ? "" I chuckle and reply , "" No . I 'd much rather be surrounded by tourists than idiots . """,41.98,98.89,99.0,11.54,15.38
1.0,July 1st . Half way point of the year . Well I think we can all agree that 2020 has gone swimmingly so far . Ca n't wait for part 2 . #murderhornets,47.93,99.0,20.23,3.45,3.45
1.0,Petition to call erections social dickstanding,99.0,,,16.67,0.0
1.0,I absolutely love it when its pouring down with rain on a Monday morning and I forget my umbrella !,22.98,99.0,92.27,5.26,0.0
1.0,On a scale from 1 to 10 how deeply was your childhood influenced by the Hannah Montana 2 : Meet Miley Cyrus double album ? This is for research purposes .,96.35,2.36,75.77,3.57,3.57
0.0,keep the mics on pitchers always,99.0,39.59,99.0,16.67,0.0
0.0,quackity stream is making me so genuinely happy rn,1.0,10.18,99.0,0.0,0.0
1.0,The only thing I got from college is a caffeine addiction,89.52,5.07,,0.0,0.0
1.0,"love island is ending , law school is starting again ... summer is really over",14.06,99.0,99.0,7.69,0.0
1.0,Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40,95.09,1.0,92.27,5.26,10.53
0.0,"@USER Huh . I 'm realizing now that I have never been that far away from ALL humans . I 'm surrounded by inhabited places , plus I 've really only visited popular cities ( did go to a cabin in the woods once , but that was with family ) . Interesting concept to think about .",45.65,99.0,50.98,8.0,6.0
0.0,"It 's been a bit since I 've had a musical obsession on this level , but has anyone seen / heard Six ?",29.12,84.92,,0.0,4.76
0.0,"Sorry for the overshare but life 's been miserable of late and I need a place to vent so buckle up cowboys , cowgirls , and cowpeople . I present to you : the last three weeks of my life .",85.2,77.17,2.17,11.11,2.78
0.0,"Just watched the Murray game and BBC commentary after . Is n't "" Andrew Castle "" cockney rhyming slang for something ? Should be .",39.7,1.0,,0.0,10.0
1.0,Why are the side effects of antidepressants so :sparkles: scary :sparkles:,45.12,50.45,1.0,0.0,36.36
0.0,#didyouknow Mosquitoes are attracted to the colour blue twice as much as to any other colour .,95.8,1.63,,0.0,6.25
0.0,I miss frenemies so much,1.0,63.35,,0.0,0.0
1.0,considering crowd surfing the next time the hallways are too packed,89.52,99.0,,9.09,0.0
1.0,I 'm gonna miss scantrons shortening my name to “ Christ ” after 16 years,74.95,98.89,,15.38,15.38
1.0,School psych life if fun because you can feel like complete shit but chances are you have meeting that determines changes in a student 's education that 's bound by legal timelines and took coordination of 6 different schedules and you 're the only one who can run it,38.51,37.24,51.68,12.24,0.0
1.0,My favorite part of flying is getting to walk past the rich people to get to my poor person seat .,97.77,98.38,90.5,10.0,0.0
0.0,i am in severe pain while on vacation i feel robbed .,45.12,99.0,1.0,9.09,0.0
0.0,People who drive under the speed limit . Death Penalty .,98.16,99.0,,22.22,0.0
1.0,omg there 's a sheet of ice in front of my school . should I slip and fall ?,64.21,99.0,,0.0,0.0
1.0,@USER Sounds like a strong contender for GOTY,99.0,,99.0,12.5,12.5
1.0,"me : revises cells + other general biology stuff edexcel : "" i want a fit summer bod , get them to tell me how i get one "" #EdexcelBiology #Gcses2018",39.7,85.71,,8.0,28.0
1.0,The high tomorrow is 45 ! Anyone wanna go to the pool ?,99.0,95.15,,18.18,0.0
1.0,Having morning sickness when you 're not actually pregnant is all the fun,1.3,81.58,99.0,7.69,0.0
0.0,"I just finally got around to starting the most recent season of Archer , and I am seriously bummed out for being only one episode in to my favorite animated tv comedy",69.92,97.57,20.23,0.0,0.0
0.0,Still time to apply for our Clinic Supervisor post ... HTTPURL,89.52,7.03,,20.0,0.0
0.0,Reminding myself that things take time & I 'm not stagnant . I 've been doing the best that I can with what I have and that 's all that matters ! Small steps,1.0,79.1,,12.9,3.23
0.0,"@USER @USER Its literally very common . My friends son was concieved while she was in the pill . You do know it 's only 91 % effective right ? That means for 9 % of women , that form of birth control fails .",36.67,8.42,61.63,7.89,10.53
0.0,I hope the woman I saw driving a motorcycle wearing a semi-formal dress and cheetah print stilettos has a nice day,89.52,24.32,99.0,4.76,4.76
0.0,There may never be a better celebrity cameo in our time than that one scene in Space Jam 2 .,36.67,99.0,92.27,10.53,0.0
1.0,First day of school and spectrum internet has already shit itself . Amazing,26.1,39.59,99.0,8.33,0.0
0.0,"raise your words , not your voice . it is rain that grows flowers not the thunder . aka do n't be mad , Stoopid .",2.35,56.69,1.0,0.0,0.0
0.0,"Celebrating the Year of the Ox in Pingtung County , South Taiwan . Just off for a scooter ride . ( If this is my first and last twit - doh ! )",93.9,98.89,79.29,3.85,11.54
1.0,Just nearly cried in the tesco express because they did n't have the cheese pizza or the back up pizza I wanted . My mental stability is strong today .,46.07,97.09,20.23,10.71,0.0
1.0,teams is down what a shame I can't do my assignments :backhand_index_pointing_right: :medium_skin_tone: :backhand_index_pointing_left: :medium_skin_tone:,10.19,63.35,1.0,0.0,120.0
0.0,"I have finished work , yet am still here , latched onto the free Wifi like a newborn child to his mother .",69.05,28.56,90.5,35.0,0.0
0.0,Anyone calling vaccine passports unworkable needs to explain how it 's different to requiring ID to enter a nightclub .,80.4,33.61,,0.0,0.0
0.0,Ready to not be pregnant so I can enjoy my first espresso martini,1.3,30.98,99.0,7.69,0.0
1.0,"Ah yes , another afternoon with the WiFi down ... really makes working from home that extra bit more enjoyable :)",95.09,70.28,99.0,5.26,10.53
0.0,"If they are going after the misspelling “ definately ” as proof of H , then I 'm afraid half of Facebook are suspects . #LineOfDuty #LineofDutyFinale",60.52,92.58,1.0,0.0,17.39
1.0,my computer does this fun thing now where it shakes in a way that exactly replicates what happens to my vision when i forget my meds so that 's exciting !,1.16,98.38,97.84,6.67,0.0
1.0,"@USER red among us guy , hes hot dont come for me",6.68,95.15,,9.09,9.09
0.0,Why you gotta take someone pure like Sean Lock from us huh ? Why could n't it be James Corden ?,12.74,1.0,,10.53,0.0
1.0,My eldest is having a wild Friday night out . She 's going to bingo . :face_with_tears_of_joy:,77.34,63.35,,13.33,40.0
0.0,Any Brandi Carlile song rips my heart out and mercilessly stomps on it until it is in a million different pieces,81.45,84.92,1.0,4.76,0.0
1.0,"oh also , my song with my middle school boyfriend was “ 143 ” by Bobby Brackins ! ! i really peaked geez",19.76,77.17,,0.0,11.11
0.0,It 's hard to cope without any hope .,89.52,15.38,99.0,0.0,0.0
0.0,"If you 're able to donate , then use : HTTPURL . If you are n't able to donate , then I 'd appreciate it if this post gained some traction . Every little bit counts . If you 'd like a drawing for your donation , I 'm more than willing to do so . ( 4/4 )",28.63,63.35,50.98,2.0,8.0
1.0,love waking up in a panic :woozy_face: :woozy_face:,99.0,89.39,20.23,12.5,75.0
0.0,Best night ever :purple_heart:,26.1,99.0,,50.0,75.0
0.0,Been looking forward to watching Coxsey 's bouldering on @USER for a week and the climbing channel is suddenly showing horses . Horses . Horses ! HORSES ! ! ! :pouting_face: :pouting_face: :pouting_face:,93.76,52.89,,0.0,37.04
1.0,I 've just got up at five forty five on a Sunday to watch the Japanese Grand Prix as a Ferrari fan and saw Vettel jump ( and then fuck up ) the start and Leclerc tangle with Verstappen on turn 2 . Lovely stuff .,97.56,56.69,88.66,4.76,4.76
1.0,Entry level jobs that require 3 years prior experience :two_hearts: :two_hearts: ly :two_hearts: :two_hearts:,76.24,72.58,,7.14,85.71
0.0,sometimes you just have to send death threats to your animal crossing villagers,53.56,30.98,1.0,0.0,0.0
0.0,"too many words , not enough pictures",10.19,,,0.0,0.0
1.0,I 'm the highest I 'll ever be on 420 in my life ! I 'm on an airplane duh,80.4,99.0,,5.26,0.0
0.0,@USER This art is giving me Mario Strikers Charged concept art vibes . This is really nice !,5.64,15.38,96.74,0.0,6.25
0.0,Friday Night Dinners will never be the same . So sad . #PaulRitter,1.5,99.0,1.0,9.09,9.09
0.0,Is there anything more “ Dad ” than calling your dad for his social security number and him saying “ I do n't know call your mother ” ? ? ?,5.64,3.81,,8.33,16.67
0.0,Angela Merkel : doctorate in Quantum Chemistry Leo Varadkar : worked for years as a GP Boris Johnson : once accidentally called ping-pong “ wiff-waff ”,97.56,24.32,,4.76,33.33
0.0,I watched the first two episodes of American Horror Stories and holy shit it was so bad,29.85,1.39,1.0,0.0,0.0
1.0,I 'm literally out here trading eggs for potatoes Day 1 in our new dystopian society is going well #coronavirusUK #coronavirus,70.33,99.0,99.0,14.29,9.52
1.0,hey quick question is it fall or spring ? ? ?,5.64,99.0,,12.5,0.0
0.0,"@USER This game was the best $ 4.95 dollars I 've ever spent Dex , can't wait for your next game ! :)",26.1,63.35,90.5,5.0,20.0
0.0,Cicadas are fucking ugly and I 've had the misfortune of seeing one at eye level two times this summer,69.05,63.35,1.0,5.0,0.0
0.0,Excited for this fall voxbox ! #complimentary @USER HTTPURL,89.52,89.39,99.0,0.0,25.0
0.0,True bliss is laying in an ice cold bath during the hottest part of the year,99.0,99.0,96.74,6.25,0.0
0.0,"If I invite you over for dinner , it 's my intentions of paying and making everything as my gift to you as my guest",26.1,89.39,,0.0,0.0
0.0,"@USER @USER @USER @USER @USER We are tackling men on inclusivity . As I said , you do n't want to hear or see it because you refuse to read more than newspapers , you do n't read actual experiences , you do n't read our conversations because you 're too hateful to care .",23.71,1.46,4.56,2.0,10.0
1.0,I get a lot of boy who cried wolf vibes from the Red Cross and their emergency blood shortages all the time,94.5,20.79,1.0,9.09,0.0
0.0,@USER I think you 're so cool ! :),1.0,89.39,99.0,0.0,37.5
0.0,I wanna hurry up and get my 2nd dose of the vaccine :confounded_face: :confounded_face: 2 more weeks :crying_face:,95.3,77.17,,5.56,50.0
0.0,"No offense , but I actually really enjoy seeing what music everyone is jamming to via social media . Keep doing that cause music is cool",5.64,3.81,99.0,12.5,0.0
1.0,Funny how my phone starts turning into a piece of shit when the new iPhone comes out :thinking_face:,98.16,99.0,1.0,5.56,16.67
0.0,"If you joined our girl friend group , you 'll literally break up with your bf sooner or later",33.38,96.01,93.93,0.0,0.0
0.0,who up ? who on norco ?,89.52,63.35,,0.0,0.0
0.0,my professor has been fighting with his dog most of class lmao,26.1,3.81,20.23,0.0,0.0
1.0,What a Race ! #sarcastic #WTF1 HTTPURL,89.52,,1.0,0.0,33.33
0.0,Pernille deserves better,,1.0,99.0,33.33,0.0
1.0,Most people have security cameras for protection . Ours acts as a DVR,89.52,,,16.67,0.0
1.0,"Goodness my parents are actually watching something on Apple TV + , brilliant , yet another streaming service ! :sleepy_face:",13.27,15.38,99.0,0.0,25.0
1.0,I would like to dedicate my hot girl summer to the Eastpointe Chick-Fil-A . Thank you !,77.34,1.91,99.0,0.0,13.33
0.0,Just sang all the small things at a karaoke bar in Barcelona,99.0,3.81,,0.0,0.0
1.0,2 minutes into the book and I already hate the main character . Lovely,89.52,98.89,20.23,0.0,0.0
1.0,Is spunk a slur ?,89.52,,,0.0,0.0
0.0,"Conservatives really are the scum of the earth , no one can convince me otherwise",18.12,24.32,1.0,0.0,0.0
1.0,"Thank you twitter for deciding to completely reset your list of the "" suggested topics to follow "" I 've clicked to ignore ( all of them ) , so now I 'm back to seeing hundreds of them , every time . Really appreciate you doing that .",62.96,42.46,89.58,7.32,9.76
0.0,Been allergic to peanuts for over a decade but still crave PB & J all the time,98.55,89.39,,12.5,6.25
0.0,@USER the good shows that were cancelled for this to happen : :eye: :mouth: :eye:,89.52,,98.65,7.14,57.14
0.0,"My official ranking of holidays : 1 . Halloween 2 . Valentine 's Day 3 . New Year 's Eve 3.5 . New Year 's Day That 's it , folks",74.19,99.0,99.0,16.0,4.0
1.0,"Stimulus checks should come with hand lotion , a face mask , and a bonus for every Instagram bingos you do",89.52,1.0,92.27,5.26,0.0
1.0,I live for the great British weather !,99.0,97.09,99.0,28.57,0.0
1.0,"Here comes the final of the UK #DailyBriefing - who will win , Johnson or Covid ?",76.24,99.0,98.65,7.14,14.29
1.0,it 's so rude that i 'm not at the beach right now,4.85,98.89,1.0,15.38,0.0
1.0,You know the wolves match is boring when you 're talking with your mate about the best way to wire up his new shed !,73.36,39.59,20.23,8.33,0.0
0.0,"One or my friends has a crush on me , and I feel sad that I do n't feel the same way . Because I know EXACTLY how that feels . I hate this feeling . :disappointed_face:",6.68,99.0,1.0,12.12,9.09
0.0,just expressing my love for brandi carlile and brittney howard that is all,14.06,2.93,99.0,7.69,0.0
1.0,"Started watching house of cards , 4 episodes in . Already I can see it was a good choice :grinning_face_with_smiling_eyes:",66.04,77.17,93.93,11.11,33.33
0.0,early cat boys ? nyanderthals,,89.39,,0.0,0.0
1.0,if trees would simply stop producing flammable leaves climate change would not be an issue,10.19,19.26,,13.33,0.0
0.0,Harder and Ji have carried this team today,5.64,89.39,,25.0,0.0
0.0,"As colleges begin making fall re-opening announcments , remember that if your school is reopening this fall , it 's not because it 's suddenly safe or the pandemic is over . It 's because they want your money .",4.55,96.01,20.23,5.56,2.78
1.0,I woke this morning to another Monday of fine bright warm sunshine here in Norfolk . Just what you need to put you in the right frame of mind for the week .,93.3,91.84,99.0,9.68,0.0
1.0,nothing quite says hello 2020 like hypothermia :partying_face:,62.1,,99.0,12.5,37.5
1.0,tiktok 's full name is tictactoetok,49.68,39.59,,16.67,0.0
1.0,STOP TREATING MARS LIKE A BACK-UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE .,36.67,70.28,,21.05,5.26
1.0,Oh what a surprise BBC weather says it 's raining in Manchester ! in Manchester !,96.35,24.32,,0.0,0.0
1.0,cold queso is so much better than warm queso HTTPURL,15.41,7.03,99.0,10.0,0.0
1.0,Pregnant and constantly crave KitKats . I literally have been living off of them for the past 4 months . @USER,67.62,93.14,,5.26,5.26
1.0,"Duodenum , Jejunum , and Ilium would be cute names for triplets , do n't @USER me",18.12,1.0,98.65,0.0,7.14
0.0,Another thing lost to climate change : parents making their kids wear long sleeved shirts under their costumes bc its cold out #halloween2019,58.76,79.84,1.0,13.64,9.09
1.0,good evening sharks . hooters but for feet .,89.52,99.0,99.0,0.0,0.0
0.0,i think it should be illegal for the people stopped at the light outside my window to have bad music taste,89.52,56.69,1.0,19.05,0.0
0.0,@USER Excited for season two :),99.0,39.59,99.0,0.0,50.0
1.0,See Brexit is going well,3.8,63.35,99.0,20.0,0.0
1.0,It 's so fantastic when you pay £ 800 a month to live in London in a fully refurbished house and wake up with water dripping on you from the upstairs en suite XXXXXX,93.12,71.27,67.94,3.03,0.0
1.0,there 's no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed . :expressionless_face:,98.73,97.49,20.23,7.89,7.89
1.0,"@USER I choose to interpret it as "" XD "" : the universal emoticon for laughing at those poor , poor folks in Ubisoft 's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch .",94.88,89.39,2.86,2.5,10.0
1.0,:dizzy: jsc bonding nights :dizzy: :smiling_face_with_hearts: :partying_face:,,24.32,99.0,0.0,171.43
0.0,@USER @USER Agree with all that he said with the previso that civilians and arms leave before the last of the troops left ... that was Biden 's huge error,89.52,7.91,,0.0,6.9
0.0,"USA is turning into the 40 - something uncle who turns up to the wedding reception , gets drunk & takes the mic from the band to sing Sweet Caroline , but gets all the words wrong . Highly entertaining but a total fucking train wreck that you 're glad you do n't have to see more often .",91.9,18.63,94.44,1.89,3.77
1.0,alright I 'm ready for some march madness :basketball: :fire:,69.05,63.35,99.0,10.0,40.0
0.0,"Spiritfarer is so good , I bought it several months ago but finally started it tonight #gamer",1.0,99.0,96.74,6.25,6.25
1.0,When you get woken up at 3am because of aftershocks from an earthquake :thumbs_up: :weary_face:,96.08,19.26,,6.67,40.0
1.0,"Ah yes , it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis :brain: HTTPURL",46.7,12.44,1.0,5.88,23.53
1.0,I wish that grilled cheese helped you get that summer bod,6.68,5.07,99.0,9.09,0.0
1.0,"Turned out nice again , I see [ insert photo of flooded house ]",89.52,99.0,99.0,18.18,18.18
1.0,I picked next year 's musical already ... Electro City . Obvious choice .,45.12,99.0,,9.09,0.0
0.0,there was a bee in my house yesterday and i have n't seen it since i hope it died,6.22,99.0,92.27,5.26,0.0
1.0,"ah yes , of the course the summer rain pours when im on foot .",89.52,81.58,,7.69,0.0
0.0,Get the Police involved . Refuse to sail until they mask up . Do n't let them on in the first place . Little point posting on twitter if you 're not going to enforce it . HTTPURL,89.52,83.69,1.85,5.88,0.0
0.0,I have n't used snap in so long and my short attention span / short term memory can't keep track of what we 're talking about :weary_face:,14.06,81.58,79.29,11.54,15.38
1.0,I am just loving life in Covid times . Long may it last !,10.19,99.0,99.0,25.0,0.0
1.0,my car is acting up AGAIN for like the 3rd year in a row and I 'm just going to drive it into the river at the point,99.0,97.09,,10.71,0.0
1.0,The numbers talking to me !,99.0,63.35,,0.0,0.0
0.0,Toonami introduced me into anime . #BringBackToonami,89.52,99.0,,0.0,16.67
1.0,I just love the weather in Edinburgh have to dress for every season peeing with rain this morning now beautiful blue skys ! ! Just love getting soaked :face_with_steam_from_nose:,83.52,52.89,99.0,14.81,22.22
0.0,so @USER really knocked it out of the park on this album . there are not enough words that can describe how much i love BILC . i could spend forever inside of it :black_heart:,20.83,50.45,20.23,6.06,12.12
1.0,wow . i left on time today and the airport connector is all the way backed up . love that,89.52,99.0,93.93,16.67,0.0
1.0,Wow Bdubs can bench press 150 kilometers,56.86,1.0,,0.0,0.0
1.0,it 's all about women in stem struggles . what about women in interactive media struggles : i no longer win against my friends in smash because they major in goddamn video game .,77.83,97.57,1.0,6.45,3.23
1.0,Just disposed of a dead opossum . Good morning !,98.55,89.39,99.0,0.0,0.0
1.0,90 % of adulthood is just refilling your Brita pitcher .,33.38,,,0.0,11.11
1.0,Remember the hundred emails from companies when Covid started getting real ? I 've gotten three in regards to support for protests . And only @USER shared helpful links and actually said black lives matter ... we love capitalism :smiling_face_with_hearts: :raising_hands: :medium-light_skin_tone:,74.95,30.98,99.0,5.13,35.9
0.0,@USER @USER The % you quote is of those eligible . This is surely misleading ?,14.06,2.93,,0.0,23.08
0.0,"Piers Morgan getting grief for his comments on silver and bronze medals . But , ask the average person to name 10 British Olympians and they 'll rattle off 10 gold medalists .",89.52,1.0,72.45,3.33,0.0
0.0,I only watch youtubers that apologize when they mention their video sponsor,1.0,39.59,,0.0,0.0
1.0,i would rather be outside reed timmers car in f3 tornado winds than go to work today,79.1,99.0,,17.65,0.0
1.0,"Horse dancing is my new favorite Olympic sport , I have no clue what 's happening , but this is incredible",1.0,99.0,99.0,10.53,0.0
1.0,"Do n't you just love Monday mornings , they are even better when its freezing cold and you have an uncooperative child too !",1.0,20.79,99.0,18.18,0.0
1.0,Woke up at 3 am with a MAD craving for pickles . I guess that means I 'm expecting !,89.52,77.17,1.0,0.0,0.0
0.0,"@USER @USER Hey Glenn , what is this app called ?",10.19,,,11.11,22.22
0.0,i do n't understand jackets that do n't have side pockets ? ? ?,1.5,95.15,,9.09,0.0
0.0,omg text “ pew pew ” and see what happens :face_with_open_mouth:,10.19,10.18,,11.11,77.78
0.0,i 'm going to a butch brunch / clothes swap this weekend and i think this is the most excited i 've been to socialize in a year,75.62,92.16,77.5,3.7,3.7
0.0,I want to do a puzzle while drunk again,33.38,77.17,,0.0,0.0
1.0,@USER @USER can i use this chiamus for my ap lang speech about parallelism lmao,22.17,19.26,97.84,0.0,13.33
1.0,Day 3 of night shift : “ Can I get a triple shot puppuccinio ? ”,89.52,39.59,,25.0,25.0
1.0,I really hate the new TikTok voice over voice - she sound annoying af,53.56,30.98,1.0,0.0,7.69
0.0,i 'm ALREADY stressed about whose pov to watch for mcc hahah,73.36,39.59,20.23,0.0,0.0
1.0,""" are you experiencing suicidal or homicidal ideation ? "" "" only while trying to talk to a human when I call @USER pharmacy """,26.1,28.56,1.0,10.0,25.0
1.0,"I 'm so glad I know the quadratic formula from 8th grade instead of knowing how to pay taxes , get ready for college , oh OR ANYTHING ELSE USEFUL THAT INVOLVES BECOMING AND ADULT :cowboy_hat_face: :smiling_face_with_hearts:",48.23,91.58,99.0,8.57,25.71
0.0,ok wow ... unfollowing now . thought he was the cool new kid from hollywood but apparently he 's a virgin who lit the black flame candle,63.53,3.34,99.0,12.0,0.0
0.0,How do you figure out the guy in the office who does n't have a smartphone ? He 's the one walking into the bathroom with a book under his arm .,97.77,39.59,,3.33,0.0
0.0,Where does Twitter go shopping ? Went to the supermarket earlier and shelves full as usual . Only item I could n't get hold of was British : large jar of Colman 's mustard ( much better value than the smaller ones ),80.4,70.28,61.63,10.53,7.89
1.0,Big day in the Mumford house #sports day,99.0,99.0,,37.5,12.5
0.0,@USER I think you are wonderful ! I adore you ! :bread: :people_wrestling: :roller_coaster: :smiling_face_with_sunglasses:,4.85,81.58,99.0,7.69,107.69
0.0,""" You think you 're better than us because you 're vaccinated ? ? "" Uh , yeah , yeah I do",1.97,54.55,96.74,6.25,12.5
1.0,"Not got one lynx Africa for Christmas Day this year , shocked and outraged . #RuinedChristmas",56.86,97.09,1.0,14.29,7.14
