label,tweet
1.0,yo @claires do yall do hysterectomies?
0.0,Corsodyl failing to consider i like being a person who spits blood when they brush their teeth
0.0,"You know what makes a 15 minute wait for the bus even better, rum leaking all over the contents of your bag ğŸ™ˆğŸ˜«"
1.0,Accidentally made a friend in ASL today. I hate when that happens.
0.0,Just disposed of a dead opossum. Good morning!
1.0,I think Boris Johnson deserves his parties after the great job he does for the country these past few years
1.0,"The best part of going out, is waking up at 2PM the next morning wondering whether you're dead or not and what day it is. ğŸ˜‚ğŸ˜³ğŸ˜€"
1.0,came home to realize my family found and read my quarantine journal lmao lucky I didnâ€™t get involuntarily committed wtf
1.0,"Me: ""Did you you find everything you were looking for?""

Customer: ""why, are you hiding something?""

Me: ""aRe YOu HIdiNg sOMetHinG?"""
0.0,I live for the great British weather!
0.0,"""are you experiencing suicidal or homicidal ideation?""
""only while trying to talk to a human when I call @Walgreens pharmacy"""
1.0,Lovely day to be stuck at the mall with a dead battery.
0.0,alright Iâ€™m ready for some march madnessğŸ€ğŸ”¥
0.0,itâ€™s so rude that iâ€™m not at the beach right now
1.0,I've been doing physics for 40 minutes I think I deserve a break ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜­ I'm never going to get it all done at this rate
1.0,If I were the Red Sox I would simply play the Orioles more
0.0,Stop gatekeeping retirement living communities. I am mentally and spiritually ready to move in.
1.0,Oh yes thank you mr delivery man so much for delivering my important and fragile package by leaving it on the doorstep in the pouring rain!Very glad you didn'tring the bell or leave it in my safe place as suggested!
0.0,The only thing I got from college is a caffeine addiction
0.0,"Here comes the final of the UK #DailyBriefing - who will win, Johnson or Covid?"
1.0,Turned 25 today but woke up with $600 from the IRS in my bank account so quarter life crisis has been postponed
1.0,Brother's off on a night out and I've gone to bed cos I feel exhausted and sick.... excellent ğŸ‘ğŸ»
0.0,"Stimulus checks should come with hand lotion, a face mask, and a bonus for every Instagram bingos you do"
1.0,iâ€™m dying
0.0,A fun musical mashup is the country music playing at the gym with the one guy playing old Eminem on his phone at full volume in the locker room shower ğŸ¶ğŸ¶ğŸ¶
1.0,Imagine not liking football ğŸ¤£
1.0,"head is pounding, spent Â£25 on ubers last night and I have a 3000 word report to write :) yippee x"
1.0,@goldfishbabe101 crispy all day every day over here âœŒğŸ»
0.0,Just getting some WD40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #WD40
0.0,The fact I nearly froze on my way to work this morning is definitely a sign it's not summer anymore #freezing
0.0,"I heard it might be snowing ??? Sounds fake, but okay??? Can anyone verify?????????"
1.0,"Yeah, feeding children sweets before bedtime is an awesome way of getting lots of sleep"
0.0,"Man-spider. The story of a spider who's bitten by a human and now has the powers of a human. Working in an office, wasting money on artisan coffee, and giving up his bus seat to a woman who turns out not to be pregnant, but just ""likes sandwiches you a-h*le"".
#IntoTheSpiderVerse"
1.0,I reckon I could have put that in the net Morelos sir
0.0,I would like to dedicate my hot girl summer to the Eastpointe Chick-Fil-A. Thank you!
0.0,cold queso is so much better than warm queso https://t.co/5TaMe4aSO6
0.0,I really hate the new TikTok voice over voice - she sound annoying af
0.0,STOP TREATING MARS LIKE A BACK-UP BOYFRIEND JUST FIX YOUR CURRENT RELATIONSHIP WITH EARTH BECAUSE YOU CAN'T LIVE HERE.
0.0,Overthinking everything in life really takes a toll on you
0.0,I reverse imaged searched a selfie and it under visually similar images it is exclusively asian woman my am I white passing narrative is quaking
0.0,I just love going out in the rain. It is so nice going to the park when it is pouring with rain. It is so cool to get mud in your hair and your socks drenched. I love it.
0.0,In sunny spain at the moment!!! Hows it all in england?
1.0,"You guys, how cool would a British version of Breaking Bad be?

Lol jk, they have universal health care so Walter White would never have to resort to cooking meth in a trailer to be able to fund his cancer treatment."
1.0,"It's nice to see some heritage organisations are doing the right thing and putting the safety of their staff, visitors and volunteers first. Wonder what that's like...
...for reasons, this is aimed at nobody."
0.0,I'm the highest I'll ever be on 420 in my life! I'm on an airplane duh
1.0,Idk how some girls put on makeup everyday. Is it just to take selfies or have you just not discovered netflix yet?
0.0,I've just got up at five forty five on a Sunday to watch the Japanese Grand Prix as a Ferrari fan and saw Vettel jump (and then fuck up) the start and Leclerc tangle with Verstappen on turn 2. Lovely stuff.
1.0,where can I hand my notice in for mental illness? been working at the same thing for way too long and itâ€™s time for a change.
0.0,Really happy that the weather has stayed like this for the whole weekend
0.0,"@banalincolnlogs red among us guy, hes hot dont come for me"
1.0,Would anyone like to give me some money? #FinDom
1.0,Itâ€™s actually really easy to get into the mindset of a Tory. All I do is smash my head into a wall until I bleed and then slur incoherently about social mobility and England before stuffing handfuls of loose change into Tim Martinâ€™s hands and kick a homeless person in the jaw.
0.0,"Goodness my parents are actually watching something on Apple TV+, brilliant, yet another streaming service! ğŸ˜ª"
1.0,Today my pop-pop told me I was not â€œforcedâ€ to go to college ğŸ™ƒ okay sure sureeee
1.0,If you don't like Lemonade you're an extremist ğŸ‹
0.0,my computer does this fun thing now where it shakes in a way that exactly replicates what happens to my vision when i forget my meds so thatâ€™s exciting !
1.0,South Park being taken off Hulu is the worst thing thatâ€™s happened to me personally in 2020 and like.. my dad died
1.0,so many people pressed that italy won sorry eurovision belongs to the bisexuals now x #Eurovision
1.0,Hey does anyone know of any organizations that have massive stockpiles of money that could be super useful to the world during a public crisis?????
1.0,"My favourite thing driving to work in the morning is how peaceful and slow everyone is. I love when people donâ€™t know where theyâ€™re going, like they are just out for a stroll at 8:30 in the morning. It makes me so happy."
1.0,Do the #Hokies really have to play 5 against 6 tonight? Come on stripes
0.0,I wish that grilled cheese helped you get that summer bod
0.0,My favorite part of flying is getting to walk past the rich people to get to my poor person seat.
0.0,"Yeah Iâ€™m following a lot of shows right now, the price is right is pretty good but season 1 is better than season 2"
1.0,"At least half of my days are still bad days and let me tell you, i've never once killed 8 people because of it. A true miracle apparently"
0.0,I absolutely love it when its pouring down with rain on a Monday morning and I forget my umbrella!
0.0,Birds are not real and you cannot tell me otherwise.
0.0,"It was almost 70 degrees today but no, global warming doesn't exist ğŸ˜’"
0.0,"Duodenum, Jejunum, and Ilium would be cute names for triplets, donâ€™t @ me"
1.0,"Enjoy the bars and vineyardsâœŒğŸ»
Make sure to send postcards to the people dying in your local hospitals.  Iâ€™m sure theyâ€™ll be glad youâ€™re not bored anymore"
1.0,"Cool guy in a big truck honked really long at the garbage truck because it slowed down to turn; I felt he wanted everyone to know how cool he is, so I decided to tweet about it on his behalf."
1.0,"So the Lions fans think winning one game will change anything?  Sure, and I have a bridge to sell you. :)"
0.0,My work email isnâ€™t working so I can just log off for the day right? ğŸ™„
0.0,"Omicron:  Cases are going up, run for the hills."
0.0,School psych life if fun because you can feel like complete shit but chances are you have meeting that determines changes in a studentâ€™s education thatâ€™s bound by legal timelines and took coordination of 6 different schedules and youâ€™re the only one who can run it
1.0,Uh oh Ben Simmons will also have a Steph Curry type season 76ers better not trade him now https://t.co/kkpzfcTcSH
1.0,my neighbors taunting me outside my office window by chilling in their hot tub every remotely warm day whilst I sit here on back-to-back zooms all day every day. the audacity is astonishing.
1.0,being single during college must be really fun when ur nOT IN A GLOBAL PANDEMIC
0.0,2 minutes into the book and I already hate the main character. Lovely
0.0,I am just loving life in Covid times. Long may it last!
1.0,So weird how Venmo hasnâ€™t venmoed me yet really thought I was the one
0.0,Good morning September... Hello tonsillitis :(
1.0,"Itâ€™s spring, so that means itâ€™s time for couples to leave the bar across the street and come fight under my window at 2 am again â¤ï¸"
1.0,Has any couple ever put furniture together and stayed together afterwards??? Asking for myself
1.0,Just won 3 cents on HQ words...early retirement here I come ğŸ˜
0.0,I'm just living off salads and yogurt and loving it tbh
0.0,Hey what's the weather like today? Am I going to need an umbrella?
0.0,"Don't you just love Monday mornings, they are even better when its freezing cold and you have an uncooperative child too!"
1.0,How bout you dont use a gazillion filters on your pictures
0.0,wow. i left on time today and the airport connector is all the way backed up. love that
1.0,"Day 38 of quarantine is an interesting time to get a new drum kit, neighbor"
1.0,"I'd like to thank middle aged men watching the Olympics for solving the mental health crisis. Getting someone to shout ""get some perspective"" at every athlete struggling with anxiety will definitely solve their problem."
0.0,"Oh good, it's time for the bi-monthly random power outage."
1.0,"finished the queen's gambit, i loved a look into the 1960s in the american south with no racism just vibes"
0.0,Efy is great
0.0,Oh what a surprise BBC weather says it's raining in Manchester! in Manchester!
1.0,Donâ€™t you just love it when they dig up your road at 8:30am on a Saturday ğŸ˜ 
0.0,I just love the weather in Edinburgh have to dress for every season peeing with rain this morning now beautiful blue skys!! Just love getting soaked ğŸ˜¤
1.0,Just gotta realize no ones interested in what I have to say ğŸ‘Œ
0.0,what i love about mine and summers work schedules is that she will finish at 8pm and then iâ€™ll start work at 9pm and then when i get home at 7am sheâ€™ll start work at 8am â¤ï¸
0.0,Big day in the Mumford house #sports day
0.0,ğŸ’• tip for baking bread! ğŸğŸ¥ğŸ¥– you can use the yeast in your dog's ears to substitute active dry yeast or instant yeast in a pinch! ğŸ’•
0.0,@majornelson Sounds like a strong contender for GOTY
1.0,@terryflewers @lfcsonny Has he given any clarification regarding what age Harvey Elliott needs to be before you can tackle him?
1.0,I can't believe omicron is an anagram of no crimbo! The government designed this covid variant just in time for christmas!
0.0,"5:30 banshee-like kitten zoomies are definitely my all-time favorite alarm clock, and the sound of jewelry boxes flipping over and burnouts on the wood floor make for the calmest, most enjoyable start to any workday."
0.0,@tylerthecreator @staci_zr can i use this chiamus for my ap lang speech about parallelism lmao
0.0,They really said you canâ€™t have nice weather AND no lockdown for your bday this year huh
1.0,turning 22 next week so naturally I increased my tinder age range up to 60
1.0,My eldest is having a wild Friday night out. She's going to bingo. ğŸ˜‚
1.0,"I absolutely loveee not getting a graduation ceremony after I spent 3 years on my degree and ended up over Â£50,000 in debt"
0.0,"I really loved the drive into work today in the dark, wet, heavy rain"
1.0,Ahhh I get to listen to a cement mixer all day. Awesome.
1.0,WHO LET THE LAUNDRY PILE UP 5 BASKETS. Goodness.
1.0,I canâ€™t wait for Boris to wait until after Christmas to lock us down again so that I canâ€™t go to Poland like Iâ€™ve been waiting for for half a year!
1.0,â€˜Itâ€™s only a gameâ€™ ğŸ¥´ğŸ¥´
0.0,"My PS4 Pro has P.T on it, which is somewhat funny as it was taken down before the PS4 Pro was even released #konami #PT #SilentHills #Spooky #PlayableTeaser #Kojima"
0.0,hey quick question is it fall or spring???
0.0,if trees would simply stop producing flammable leaves climate change would not be an issue
1.0,@adorinqdwt @dwtridesgnf Yes the racist is so cool!!!
0.0,"love island is ending, law school is starting againâ€¦summer is really over"
1.0,A wrong impression is once again my specialty
0.0,omg thereâ€™s a sheet of ice in front of my school. should I slip and fall?
0.0,"Ah yes, back spasms when I take a deep breath. This is âœ¨28âœ¨."
1.0,@BorisJohnson @MattHancock Oh really?
1.0,"#bbcqt It sure would be nice if Ms May decided to answer a question, rather than dance readily around it."
0.0,"@jimrossignol I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch."
0.0,I get a lot of boy who cried wolf vibes from the Red Cross and their emergency blood shortages all the time
0.0,tiktok's full name is tictactoetok
1.0,"our lord and savior, frank ocean, has saved us all once again."
1.0,"The Drew Barrymore Show is an absolute trainwreck. Like The Tony Danza Show, every two minutes is a clip for The Soup."
0.0,My eldest is having a wild Friday night out. She's going to bingo. ğŸ˜‚
0.0,nothing quite says hello 2020 like hypothermia ğŸ¥³
0.0,no more instagram. we must all return to scrapbooks.
1.0,Hailey convinced Tayler that putting a spoon in the microwave to scoop ice cream faster was a good idea
0.0,Taxes  are just the best and I cannot wait to pay more ğŸ˜‡ğŸ¥°ğŸ¥º
1.0,Hahahah @LibertyU is shutting down the entire campus for quarantine!! Couldnâ€™t happen to a nicer group of Covid deniers! #CovidIsNotOver #karmaisabitch #Covid_19
1.0,I wanted to stock up on office supplies at Tesco but all I could find in the aisle was wine
0.0,Why are the side effects of antidepressants so âœ¨scaryâœ¨
1.0,"Well, what a way to ruin Easter. Thanks @CadburyUK https://t.co/zkkguY2g6M"
1.0,Fool me once shame on you. Fool me twice shame on me. Fool me multiple times I must have become a brexiter. #Brexit
1.0,@PoliticalOrgy I thing you might be on to somethink!ğŸ™„
0.0,"On a scale from 1 to 10 how deeply was your childhood influenced by the Hannah Montana 2: Meet Miley Cyrus double album?

This is for research purposes."
1.0,Iâ€™ve always known #Bez is my spirit animal but seeing the mess he makes on @MasterChefUK confirms it 100% what a legend that man is
1.0,"So big BJ threw an Xmas party in lockdown while nan spent it on her own, oh well I'm sure she had a great time anyway."
1.0,@TheLunaCinema @seetickets absolutely no response from Luna Cinema and my completely factual review on See Tickets has been moderated and will not be published ğŸ¤” great to see @seetickets looking out for their customers. Excellent customer service all round ğŸ‘
1.0,"I find it hilarious that â€˜black and whiteâ€™ or â€˜all or nothingâ€™ thinking is considered a cognitive distortion and is a symptom of several disorders, and yet it remains a pillar of American (and Western) culture.

Itâ€™s almost likeâ€¦. our culture is toxic ğŸ¤”"
1.0,shoutout to the kid who brought a pineapple to hc and threw it around #madrespect
1.0,Man PepsiCo loves to add 750g of sugar to a mixture of their existing flavors of sodas and call it a new flavor of dew or Pepsi...
0.0,Just nearly cried in the tesco express because they didnâ€™t have the cheese pizza or the back up pizza I wanted. My mental stability is strong today.
0.0,"ah yes, of the course the summer rain pours when im on foot."
0.0,if i saw a capybara in person id probably throw up
1.0,"Being a mom with an autoimmune disease means I am a grown ass woman that caught hand, foot, and mouth from my daughter. My Hashimotos sucks. Thanks for all the sicknesses I so graciously suffer and should not be suffering at 40."
0.0,You know the wolves match is boring when you're talking with your mate about the best way to wire up his new shed!
0.0,Iâ€™m gonna miss scantrons shortening my name to â€œChristâ€ after 16 years
0.0,ğŸ’«jsc bonding nightsğŸ’«ğŸ¥°ğŸ¥³
1.0,Why are toddlers allowed in public spaces
0.0,My living room feels really lively now. Iâ€™m recklessly sipping tea absorbing choons #TaeSup
0.0,The numbers talking to me!
1.0,the only ppl who should be worried about Bidenâ€™s tax plan r the ones who get gifts for easter
1.0,i wish i could tap in to the government bank accountğŸ™„ğŸ™„ğŸ™„
1.0,@TheBabylonBee And the hot air and BS she generates makes for a perfect backup energy source!
1.0,"I think men are better than women, they provide for us. We should thank them more often for being protectors. "
1.0,"My sisters kid, when we were playing in the living room, told me that I look like ghoul due to my baggy eyes. I love children so much, they make me feel so appreciated and loved, always say the kindest things! "
0.0,Canâ€™t wait for those $2000 checks to go out immediately
0.0,"I'm literally out here trading eggs for potatoes

Day 1 in our new dystopian society is going well #coronavirusUK #coronavirus"
0.0,Pregnant and constantly crave KitKats. I literally have been living off of them for the past 4 months.  @KitKat_US
1.0,"""friends"""
