label,tweet
0.0,How is it possible that Sly Stalloneâ€™s â€˜Cobraâ€™ is both the best and the worst movie ever made?
0.0,Having morning sickness when you're not actually pregnant is all the fun
1.0,wait what the fuck that solo yolo is mad?
1.0,@ray_harren @tkinsonn buy really rare pokemon card
0.0,@SrutisJay one of them smonks weed so it's super worth it /s
1.0,How nice of tonsillitis to join me on my holiday ğŸ–•ğŸ»ğŸ–•ğŸ»ğŸ–•ğŸ»ğŸ–•ğŸ»
0.0,"North Dakota: *has one decent week of weather*
Mother Nature: NOW I SHALL CAST OUT THE SUN AND BRING THE COLDEST OF RAINS UPON THY SUPER, DUPER FLAT LAND."
0.0,Petition to call erections social dickstanding
1.0,Of course the moment I front the system is in utter chaos ğŸ¥´
0.0,love waking up in a panic ğŸ¥´ğŸ¥´
1.0,"Another great patch guys, you fully used the test server!"
1.0,Wow really loving this new job I mean constantly being shouted at and barely earing a fiver an hour why did I not sign up earlier!!!
0.0,"My poo is green, how festive."
1.0,trying to figure out how to use notion for my anime list. I think iâ€™m dying
0.0,Got a bloody screening invitation for a massive film - YES THAT ONE YOURE THINKING OF - and both screenings are on school days ğŸ˜­ tempted to quit teaching tbh
1.0,Wow it's almost as if it's their literal job to have a lot of knowledge about a wide array of subjects.. Funny that https://t.co/NGi02vXxnK
0.0,"me: revises cells + other general biology stuff
edexcel: ""i want a fit summer bod, get them to tell me how i get one""
#EdexcelBiology #Gcses2018"
0.0,a level tudor history can do one
0.0,"Got locked out of Twitter for saying itâ€™s embarrassing to be an arsenal fan. Thatâ€™s not okay, but people can be abusive and racist and nothing?!? Okay! ğŸ¤£ğŸ™„"
1.0,i love ingesting poison and then wondering why my tummy is rumbling the next morning
0.0,Been looking forward to today all weekend.  Mondays are the best.  I feel fresh and ready to start the week.  SAID NO ONE EVER!! 
0.0,When you get woken up at 3am because of aftershocks from an earthquake ğŸ‘ğŸ˜©
0.0,"i love how i literally just finished watching the fifth hp film and then turned to my mum and said ""love a good bit of character death on a sunday :)""
the dsmp lore has utterly ruined my attachment to characters and how i see stories now. i am a broken woman."
1.0,can't wait to cop tickets to see the cracker quartet
1.0,"Please consider map filters on online mutliplayer. Pretty pls, thanks @CallofDutyUK"
0.0,"Iâ€™m so glad I know the quadratic formula from 8th grade instead of knowing how to pay taxes, get ready for college, oh OR ANYTHING ELSE USEFUL THAT INVOLVES BECOMING AND ADULT ğŸ¤ ğŸ¥°"
0.0,"apparently it's the biggest ask on the planet to find decently priced sandals with an enclosed toe. PLEASE, INTERNET. I just want to have vaguely summery shoes that don't involve me having my toes out to the world at all times lmfaoo"
0.0,"@Rosievix @mouthwaite Well, illegal immigrants  categorically donâ€™t get money from the government but why let a little thing like facts get in the way of a good bit of xenophobia..."
1.0,"thank you kind person that stole my ATM card, you must have known I wanted to sit at the bank all day.. half hour and still waiting #mondays"
0.0,Well. That went well. #BelgianGP
0.0,Ah gotta love that Friday morning burnt out feeling ğŸŒ„
0.0,"Not got one lynx Africa for Christmas Day this year, shocked and outraged. #RuinedChristmas"
0.0,considering crowd surfing the next time the hallways are too packed
0.0,"Turned out nice again, I see [insert photo of flooded house]"
0.0,"Ah yes, it really is wood-burning stoves in sub-Saharan Africa thats driving the climate crisis ğŸ§  https://t.co/lShlgWYGOX"
0.0,Is spunk a slur?
0.0,NOT OLIVIA RODRIGO TRAITOR IN THE BACKGROUND #LoveIsland
1.0,"@AlexShawESPN @robwishart @GNev2 Does he order 11 at once and drink each one at just over 5 minutes, OR do we have to take into account going to the bar? Either way itâ€™s a disgrace and not what we should be promoting to the kids."
0.0,wearing a cute jumpsuit is all fun and games until you have to go to the bathroom
0.0,Anyone else hear some like thunder or something?
1.0,"Yes, that's fine. Don't wash your hands when you come out of the gym toilets and go and touch all the weights. We're not in a Pandemic or anything..."
1.0,"you like ketchup but not tomatoes???

grow up"
0.0,"""coping strategies to help with tinnitus and hearing loss: see a doctor!"" Wow thanks internet"
1.0,If only we had another lockdown I'd love to be locked in my room for another 8 months
1.0,Vaccinated this morning. Not sure it's worked - still committed to Apple and no extra autism detected. Bloody science.
1.0,If only clever people actually had the ability to be clever and not repeat everything they think they know
0.0,absolutely love waking up to the fire alarm at 7 am ğŸ˜
0.0,The high tomorrow is 45! Anyone wanna go to the pool?
1.0,#HappyBirthdayKeanuReeves Keanu Reeves is so wholesome â˜ºï¸
1.0,"@GeoffreyBrock6 @RevRichardColes Do you really believe  that? I'd put more faith in the giant pumpkin. Wait a minute, he is the giant pumpkin!"
0.0,Wow Bdubs can bench press 150 kilometers
1.0,"Oh? You're a real anime fan? Name all the Boku no Pico characters, I'll wait."
0.0,Avoid mass gatherings.. does this mean that I can stay home tomorrow as I work at a school? No I thought not. #schoolclosure
1.0,"Yay - snow day, I can work from home - oh wait...."
1.0,thanks @SovietWomble for ratting my location out on stream and then embarrassing me ğŸ˜‚ it made my day though https://t.co/3b7Cjql2GO
1.0,@sdeditgirl You should know a true Oregonian doesn't use umbrellas!
0.0,I love a Monday morning so glad the weekends over!
1.0,fully vaxxed feeling very girlboss
1.0,Between Mikey cooking and Didi cooking for me I relaxing ğŸ˜  cooking?? I donâ€™t know her
1.0,"Hi John, thank you SO MUCH :-) for the text last night. ordering (!) me back to work off holiday for this morning as someone else is sick. Sooooo Sorry :-( that I am in Beijing with an 8 hours time difference and couldn't make it! I'll try harder next time........."
0.0,Hot dog eating contest as a form of assisted suicide
1.0,"Currently bombing aces on the volleyball court and math tests in the classroom.
#StudentAthlete"
0.0,Funny how my phone starts turning into a piece of shit when the new iPhone comes out ğŸ¤”
0.0,Everybody loves Christmas! It such a great time to be jolly!
0.0,yeah i enjoy some oregano on a nice pasta dinner (dumps oregano on mac n cheese)
1.0,ima get up early tomorrow and make some tea and sit on the patio oh how I love to imagine things im never gonna do
1.0,Love it when someone buys a Â£175 coffee machine in Paris with my debit card ğŸ˜•
1.0,iâ€™m gonna get a boob job so i call myself a customizable doll
1.0,my hobbies include leaving projects for the night before and then complaining that the teacher didn't give us enough time ğŸ™ƒğŸ™ƒ
1.0,Let's cut funding to social services. What could possibly go wrong 
0.0,"Thank you twitter for deciding to completely reset your list of the ""suggested topics to follow"" I've clicked to ignore (all of them), so now I'm back to seeing hundreds of them, every time. Really appreciate you doing that."
1.0,I love working in the office instead of home. I wish they did a wax melt of Bob's BO so that I could smell it at home too.
1.0,Beautician and the Beast (1997). Best Timothy Dalton film of all time.
0.0,"This weather is really making me want to put shorts on, flock to the beach and get the deck chair out.... Yeah right!!!"
0.0,"No joke, air-fried Twisted Teas are THE BEST."
0.0,90% of adulthood is just refilling your Brita pitcher.
0.0,High stakes legos
0.0,What kind of sins have yâ€™all been committing for God to punish us with this kinda weather...
1.0,Trying to know all this history tonight is gonna kill me
0.0,Life is about eating chicken finger and getting drunk
0.0,this just in: phobias CAN be chosen and you CAN get rid of them by just not being scared! ğŸ¥° /s
0.0,"July 1st. Half way point of the year. Well I think we can all agree that 2020 has gone swimmingly so far. 
Canâ€™t wait for part 2. 
#murderhornets"
0.0,"Packing to move house, and currently wondering why I had to pick such a heavy hobby? Like, why did I have to pick reading? Books are so heavy, my back hurts. Why couldnâ€™t I have picked knitting? Yarn is light ğŸ¥²"
1.0,There is not enough people here #ivoryrooms
1.0,Might just fuck around and take some horse dewormer for the thrill of if. Maybe Iâ€™ll feel something
1.0,Hate this site [CHIRPBIRDICON]
1.0,So excited to start this job!ğŸ˜Š
1.0,"@kirkkorner ""But it's a deterrent"" ğŸ™„"
0.0,Most people have security cameras for protection. Ours acts as a DVR
0.0,Weathers wonderful today! ğŸŒ‚ğŸŒ‚ğŸŒ‚
1.0,@32watto Neighbours
1.0,"@barcacentre Unemployed and lazy that Messi guy ğŸ˜‚

(I'm being sarcastic guys, I'm warning you lol)"
1.0,Iâ€™m in Canada so like Happy 4rth?
0.0,I picked next year's musical already...Electro City. Obvious choice.
1.0,"wow, ok, unfollowing now. Was a big fan of putting your left leg in, but just heard about taking your left leg out"
0.0,Remember the hundred emails from companies when Covid started getting real? Iâ€™ve gotten three in regards to support for protests. And only @SavageXFenty shared helpful links and actually said black lives matter... we love capitalism ğŸ¥°ğŸ™ŒğŸ¼
1.0,"I spend the day sitting or napping, I ration my food like a psychopath, and I take one walk a day. I am my dog. #Covid_19 #CoronaVirusUpdate"
1.0,too many dudes are wearing birks with socks on. grow up. get the fucking toes out man.
1.0,Lil Pump is the Nelson Mandela of our generation
1.0,pay it forward is honestly one of the worst movies I've ever seen why would would anyone make an ending so sad I've been crying for 30 min
0.0,What a wonderful time to have your AC go out https://t.co/jqjqG1dGOa
0.0,What a Race ! #sarcastic #WTF1 https://t.co/zRtL5alnoT
0.0,Day 3 of night shift: â€œCan I get a triple shot puppuccinio?â€
0.0,I love when you go to shop for plus size clothing and it's always just shoved under women's and it doesn't have any subcategories so u just have to wade thru everything like a pig being thrown slop
1.0,rewatching degrassi for the millionth time
0.0,help! i'm being haunted by dead people! (my dissertations)
0.0,First day of school and spectrum internet has already shit itself. Amazing
0.0,"""@elliekonsker: FLORIDA YOU LITERALLY HAVE ONE JOB"""
0.0,"â€œIf I could have changed anything about my childhood I would have never watched spongebobâ€

-no one"
1.0,Because of #Trump I now don't have to worry about other countries making fun of me for being fat! ğŸ©ğŸ«ğŸ°ğŸ• #Thankstotrump #America
0.0,i would rather be outside reed timmers car in f3 tornado winds than go to work today
1.0,yeah your girl is fine but does she pass out while giving blood
0.0,was not aware that Crocs were appropriate business casual attire.
0.0,why is the weather having a mid life crisis
0.0,teams is down what a shame I canâ€™t do my assignments ğŸ‘‰ğŸ½ğŸ‘ˆğŸ½
0.0,Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? @bbcgoodfood
1.0,"Dry your eyes mate, they're only trousers"
1.0,Isn't it just amazing how competent the government are. You know everything is fine when we have a trustworthy PM who doesn't blatantly lie through his teeth. Everything is so great right now!!
1.0,I like making food and then not eating it to assert my dominance
0.0,"Horse dancing is my new favorite Olympic sport, I have no clue whatâ€™s happening, but this is incredible"
0.0,I woke this morning to another Monday of fine bright warm sunshine here in Norfolk. Just what you need to put you in the right frame of mind for the week.
1.0,sure you have a paying job but are you a Silver Chick Fil A Rewards member? ğŸ˜¤ğŸ™„ğŸ§
0.0,"Incredible scenes in Nottingham, as it begins to rain for the first time this hour."
1.0,Searching for Pokemon later because I hate myself haha !!!
0.0,okay but like the say so song ainâ€™t that bad. Iâ€™m unironically jam to it lmao
0.0,when the toilet seat is warmed up for you&gt;&gt;&gt;
1.0,Wow itâ€™s almost like we donâ€™t nap every single day at the exact same time wow how dare I try to do the thing we do every single day!
0.0,See Brexit is going well
0.0,"ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED, CRUSHED I TELL YOU. https://t.co/yZlafy0lsd"
1.0,"cold ears? take out one AirPod, leave it by the stove, and forget about it for 20 minutes ğŸ¤—"
0.0,"Ah yes, another afternoon with the WiFi down...really makes working from home that extra bit more enjoyable :)"
1.0,Really impressed with the clear and unified messages coming from the government re Omicron and socialising over xmas!!
0.0,Entry level jobs that require 3 years prior experience ğŸ’•ğŸ’• ly ğŸ’•ğŸ’•
1.0,really honoured to have shared a coach today with a group of girls who didnâ€™t know downing street was real and thought the prime minister and the queen lived together at buckingham palace
1.0,Happy birthday to me. I got pinged and can't leave the house ğŸ¥°ğŸ¤¡
1.0,Love being called the devil for taking away someoneâ€™s phone at summer schoolğŸ¤—ğŸ¤—ğŸ¤—
0.0,"I just absolutely LOVE how I've got to work outside for the next 3 days in the heatwave.

#sweatingmyballsoff"
1.0,@BellularGaming Blizzard will have to make sure it doesn't exceed the recommended fun level of 10%.
1.0,Oh boy I can't wait for the next general election in which a population that has been completely screwed over by the Tories somehow manages to forget all of this and keep Boris Johnson in power! I love our smart country!
1.0,we happy!!!!!!!!!!
1.0,â€œitâ€™s hotter in the america right now and it feels fine british people are just being dramatic ğŸ™„â€ QUICK ARE YOU SAYING THIS INSIDE UR AIR CONDITIONED HOUSE â€¼ï¸â€¼ï¸â€¼ï¸
1.0,love living in a capitalist society where i look forward to getting a surgery where iâ€™m legit GETTING AN INTERNAL BODY PART REMOVED bc it means iâ€™ll get a few days off from work xoxo
0.0,Itâ€™s so fantastic when you pay Â£800 a month to live in London in a fully refurbished house and wake up with water dripping on you from the upstairs en suite XXXXXX
1.0,"I love calling my mom early in the morning and waking her up, I take it as pay back for all the times she never let me sleep in ğŸ˜œ"
1.0,"The most 2020 quote of the year:

Me: we should go to the Van Gogh Museum!
Little Brother: is that the donny with one ear?"
1.0,"@traves whoa! that's a little too crazy man, slow down"
1.0,naming my son onickolas in honor of my love for @NICKIMINAJ
1.0,Loving season 4 of trump does America. Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020
1.0,this is my 3rd time taking a biology course and itâ€™s so EASY wow i love biology so much iâ€™m so glad iâ€™m so good at this subject.
0.0,thereâ€™s no better way to wake up than having one dog jump directly on your stomach and knock the wind out of you while the other drop a dead rodent on the end of the bed. ğŸ˜‘
1.0,@SuspendThePres But what were the ratings??  (Replied to his Tweet with the same thing.)
1.0,"Just signed up for Apple's Ping, told it I like 'classical' and it points me towards Lady Gaga. It takes a certain genius to be this crap."
1.0,@KhoaVuUmn Reviewer 2: this is a very weak paper that fails proof of concept. Stating a cat bed is also a wizard's hat is totally wrong and your data cannot support this
1.0,you know whatâ€™s a novel concept? rapists and sexual assaulters not only ruin the lives of their victims but also THEIR OWN LIVES. yeah. not the victims testifying. maybe if you didnâ€™t want rape accusations then DONâ€™T RAPE. also a novel concept.
1.0,watching olympic womens beach volleyball for the plot
0.0,my car is acting up AGAIN for like the 3rd year in a row and Iâ€™m just going to drive it into the river at the point
1.0,Wow... the universe gave me the task of a potty training a whole human? the audacity.
0.0,"Day 55 of Lockdown. Finally bought some jigsaw puzzles. Absolutely cannot wait for them to come, highlight of my day (maybe even year)"
0.0,Raging debate on the importance of an Orlando Magic Summer League Championship. Definitely a notch below 6 if decided by coin flip. https://t.co/LG0VRwkrKO
1.0,"Wizkid is the king, ok lol"
1.0,if 2020 was a nose itâ€™d be mine ğŸ¦
0.0,"oh also, my song with my middle school boyfriend was â€œ143â€ by Bobby Brackins!! i really peaked geez"
1.0,Iâ€™ve been laid off !! Nice:))
0.0,it's all about women in stem struggles. what about women in interactive media struggles: i no longer win against my friends in smash because they major in goddamn video game.
0.0,Another gorgeous day in sunny Accrington!
0.0,gaslight gatekeep girl boss
1.0,i love when i respond to my professor immediately after she emailed me and i still havenâ€™t gotten a response :)) (itâ€™s been almost 4 hours) :))
1.0,Update: holding hands with your mom and walking around campus also shows you're prepared for the independence college offers
0.0,good evening sharks. hooters but for feet.
0.0,love it when R gives me the 500th error code of the day
0.0,6 more hours and then a whoppingly massive 2days off work! wowzers!
1.0,I hate you so much @Eagles
1.0,"Well, at least the covid situation seems to be improving in time for christmas... "
1.0,Just had a flashback about a boy and nearly threw up in my mouth
1.0,I do love it when my mum makes me spend my savings on beer ğŸ˜’
0.0,Woke up at 3 am with a MAD craving for pickles. I guess that means I'm expecting!
1.0,"""You're not a normal white girl"" lol ok"
0.0,Good news: Played out of my mind from the sand traps today. Bad news: Was in the sand traps a lot today.
0.0,Who's ready for monsoon storms allllll weekend?!?!
0.0,"Started watching house of cards, 4 episodes in. Already I can see it was a good choiceğŸ˜„"
1.0,Boris johnson must host the best parties
1.0,"Hey Siri, how do I stop simping?"
