tweet,label,mean_confidence,variability,mean_correctness
Lil Pump is the Nelson Mandela of our generation,1,0.25434148870408535,0.1409294423820167,0.0
"@USER I 've got 4 weekend tickets available , DM me",0,0.5153797566890717,0.24509741745585167,0.25
I have never missed something as much as I miss the soy milk machine at the dining hall,0,0.48342256247997284,0.2970218080822622,0.25
""" He 's not welcome in a tolerant place like London "" @USER on the Presidential visit on @USER The irony in that comment ... #r4bh",1,0.558035247027874,0.24812518265195743,0.25
Best bullpen in baseball selling rn to Stanton and Judge . Not a place you want to do it .,0,0.3297931179404259,0.18225871833176938,0.25
@USER All I want for Christmas is Fate Collab Rerun in 2021 . Alongside Blu ray release ?,0,0.36934109404683113,0.12406767862798154,0.25
"Knocked on a door to deliver a parcel , waited 30secs then I see the parcel had a safeplace so went to the neighbour . Then this moody 20yr old answered the door in a Spurs shirt talking shit , so I laugh and say was u crying about Harry Kane , is that why u took so long to answer :rolling_on_the_floor_laughing:",0,0.3956848597154021,0.31237426292666604,0.25
"Okay , well nice of 2020 to bless us with the gift of great sports team names - The Kraken and the Washington Football Team :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy:",0,0.4563916139304638,0.24604128867610175,0.25
i hope u sleep maybe forever maybe not lol,1,0.49861880764365196,0.2884908507314517,0.25
"Just signed up for Apple 's Ping , told it I like ' classical ' and it points me towards Lady Gaga . It takes a certain genius to be this crap .",1,0.5419674292206764,0.1357480007403279,0.25
I never feel more empowered than when I 'm listening to ‘ this is me ' from camp rock,1,0.530466191470623,0.21632009974157868,0.25
:yin_yang: & :white_heart: HTTPURL,0,0.4868673086166382,0.21505419363890754,0.25
IF ONLY PEOPLE WOULD RAKE THE FORESTS . #Debate2020,1,0.559330977499485,0.24007845617826498,0.25
Can cats wear nail polish,1,0.4745548479259014,0.2130121552179917,0.25
Wow great album from Kanye . v John Cage 4 ' 43 vibes x,1,0.5286006182432175,0.1828964960124929,0.25
tanning in this heat is an extreme sport,1,0.5398613214492798,0.2483829271840024,0.25
"@USER agreed , this is ridiculous , gotta cop a pair",1,0.5499546527862549,0.2067211397287888,0.25
The control button just fell off my laptop . How symbolic for my life .,1,0.4775359630584717,0.23236665117734315,0.25
That second vaccine dose is no joke is it :dizzy_face: been absolutely floored since Saturday,0,0.41872777231037617,0.3210475875864455,0.25
Cannot cope with uni reading it 's doing my head in !,0,0.4656774289906025,0.2958089178842305,0.25
i miss classes being online 😵‍💫,0,0.4805004205554724,0.2972745844851138,0.25
#HappyBirthdayKeanuReeves Keanu Reeves is so wholesome :smiling_face:,1,0.5027549602091312,0.26788232322459715,0.25
@USER ye,0,0.4437568914145231,0.2877722330284154,0.25
"Had an end-of-the-year gathering with my ms coworkers tonight and it was just so nice to be together . Get vaccinated , guys .",0,0.486887838691473,0.29815292094732126,0.25
everytime i swipe through bumble when i 'm bored i just get sad that no one has the same complex interests as me ... rude :face_with_steam_from_nose: :face_with_rolling_eyes: / j,1,0.48565123602747917,0.3074082766415445,0.25
always gonna wonder if id dress masc if i was skinny o_o and if id be more open to telling people im nonbinary if i was skinny - _ -,0,0.482581552118063,0.31391940621308606,0.25
Why has Murray not already thrown this set ? No way he comes back from 5-0 and just tires himself out for no apparent reason .,0,0.4948873370885849,0.28118212370235945,0.25
ate a bagel with cream cheese earlier and the impending doom immediately vanished from my mind,1,0.3837238382548094,0.20019874855249548,0.25
@USER @USER Would n't change you mads :heart_with_arrow:,0,0.4323247615247965,0.3397073379886429,0.25
There is a boiling hot place in hell for the bloke who brought and used his nail clippers in a library .,0,0.45739402808248997,0.2791584168297702,0.25
people who hate the snow give off the same energy as people who hate cats,0,0.4768580198287964,0.2626975834675052,0.25
I do n't know . Why would n't I actually love people dying everywhere with none of the people that can help doing anything about it ? ? ?,1,0.27338840533047915,0.1856228096982116,0.25
@USER Nurse ! John 's been sniffing ivermectin again .,0,0.4832283556461334,0.2689003937398614,0.25
"Because Karen from YouTube knows more about science than , you know , actual scientists",1,0.3679542876780033,0.2784286127188177,0.25
Oh my goodness . It 's the first week of the summer holidays and Harrison has found his recorder . Give . Me . Strength .,1,0.46429459657520056,0.3214035655295032,0.25
Does anyone else sit in their car for at least ten minutes to mentally prepare to enter the grocery store ?,0,0.5591358430683613,0.32733826988015946,0.5
I want a bloomin ' onion,0,0.6178989261388779,0.2079964414484907,0.5
@USER @USER Have you tried Steve Wilson at UCL ?,0,0.6085198596119881,0.2516306241311316,0.5
First proper Coffee in 4 months .,0,0.6560688987374306,0.2747733684860484,0.5
"I 'm sorry , but if you message me on Instagram wanting me to help you sell your fit tea and wraps , I 'm leaving you on read . :upside-down_face:",1,0.6503267847001553,0.302365487727705,0.5
"Just caught Jamie talking about me with his nan , he showed her a picture he took of me and she said "" aw she 's gorgeous is n't she "" MY HEART :pleading_face: :two_hearts:",0,0.5058250520378351,0.2880532260470602,0.5
I am late to the same lecture every single week it 's so embarrassing,0,0.473567564971745,0.2754470147687785,0.5
just a psa : you can be christian and still support basic human rights :),0,0.6472737565636635,0.19373762887180956,0.5
"Happy new month to all my Mutuals and Friends on here , wishing us all good health and more financial breakthrough this month .",0,0.6102868393063545,0.25667043276865603,0.5
wow these kids are into musically.lly whatever and jacob sagittarius and I officially feel out of the loop . is this what growing up feels like,0,0.6027268096804619,0.19154998834866363,0.5
sadly the only reason i stop making tiktoks is because my phone is about to die ...,0,0.6134810782968998,0.27251459048509996,0.5
yo ima hott mess but at least i 'm hott,0,0.5493914745748043,0.3073956382387485,0.5
James Harden is allowed to travel every time he drives apparently,1,0.48282279074192047,0.29320992667012297,0.5
I ask myself everyday why did i pick art ?,0,0.6525654345750809,0.26923595754627483,0.5
5 star personality 4.8 star uber rating,0,0.6336891427636147,0.22039343230379663,0.5
@USER @USER Very good . Just need to work on your spelling now :thumbs_up:,1,0.3735480047762394,0.2134448575860514,0.5
finding vegetarian chocolate mousse is such an annoyingly hard task to do,0,0.5491779558360577,0.2522298262916642,0.5
"Vaccine dose 1 . Thank you , science .",0,0.6156904771924019,0.2318756876965214,0.5
"For anyone with Three network , you can upgrade or pre order over the phone , online has n't been updated .",0,0.670481726527214,0.27915089412266286,0.5
If Nick Lachey wins TMS I will be so bitter .,0,0.5479624979197979,0.32198944739689084,0.5
Why are tanning beds legal ?,0,0.6012326031923294,0.25174236439924075,0.5
@USER Please DO YOUR JOB or resign . Enough is enough .,0,0.6333492323756218,0.25291956263619375,0.5
Me : on a scale of one to ten how cute are the babies you see in clinic ? Rob : that chunky baby the other day was a ten . The one I saw today was a three--so pale . To be fair she 's in the hospital and very sick .,0,0.6324801743030548,0.1741082277832352,0.5
Oh my what was that noise ? The dog is n't happy either ! #loudbang,0,0.6372942253947258,0.24796064989234587,0.5
Just wanna exaggerate that I would die for David Attenborough,0,0.590751625597477,0.20962628299012434,0.5
"@USER the people who are going "" yeah well The Assault Man said he did n't assault her so she 's a liar "" are making ME crazier just from exposure",0,0.6503819152712822,0.22876686717495123,0.5
Congratulations to Qpfc Champions of League 2 #whowantsasuperleague,0,0.5903115198016167,0.19836356308167669,0.5
It 's only now that I 'm seriously trying to save that I 'm regretting treating myself to something new almost every week last year for just surviving my first few terms of teaching :money_with_wings: :money_with_wings: :money_with_wings:,0,0.6439098119735718,0.27754607012675175,0.5
"it 's amazing how many people get mad at you for simply Raising Questions , such as “ what if the vaccine makes your balls inflate like helium balloons and cause you to float away to never be seen again ”",1,0.5507015138864517,0.18428893578209166,0.5
Target just brings me too much joy,0,0.6531940996646881,0.2535262673816783,0.5
@USER My neice ( 4 or 5 at the time ) * loved * playing Mario Kart 8 with her dad using the acceleration and steering assists . Before that she was mostly a spectator while he played kid-friendly games like Ape Escape .,0,0.6207113415002823,0.12650603683282477,0.5
love seeing that my mom has officially started posting about the horse worm medicine being good for covid actually and they 're just trying to make it look bad bc it 's so cheap :zany_face:,1,0.6776999458670616,0.2220976408399259,0.5
Hailey convinced Tayler that putting a spoon in the microwave to scoop ice cream faster was a good idea,1,0.5982407107949257,0.2961917160103959,0.5
"facebook is so ridiculously broken . absolute garbage platform , -2/10 .",0,0.5720567889511585,0.3490958497411608,0.5
oh cool I drive to school in less than 12 hours and I 'm frantically looking up fun facts about the final destination franchise for absolutely no reason it 's fine everything 's fiNE,0,0.5694286078214645,0.19678033360727462,0.5
HTTPURL,0,0.6465318351984024,0.25962155993968933,0.5
Ai n't never really had a daddy so I 'll never really need one 🤷🏾‍♀,1,0.5947364941239357,0.22397531099060172,0.5
"@USER @USER @USER @USER I know , right ? He even wanted poor people to be healthy , because he was basically a fucking communist . What a hippie .",1,0.6454786509275436,0.2687509197357829,0.5
can't believe the covid vaccine made me lose a limb . i thought being tracked was the only side effect,1,0.6718791127204895,0.2391702563060497,0.5
"Cool guy in a big truck honked really long at the garbage truck because it slowed down to turn ; I felt he wanted everyone to know how cool he is , so I decided to tweet about it on his behalf .",1,0.6999248787760735,0.25715974387455387,0.5
@USER Mr Shatner whilst you were sleeping you asked me to join Facebook messenger and then after a polite conversation you then offered me gold necklaces and a singed ( sic ) tee-shirt - you made my Friday night sir ... just awaiting your instructions so I can wire the money ...,1,0.5959995463490486,0.28647166463909796,0.5
@USER And you said Donald trump was racist :expressionless_face:,1,0.6429759562015533,0.21496585093273224,0.5
"#bbcqt It sure would be nice if Ms May decided to answer a question , rather than dance readily around it .",1,0.5554987825453281,0.283028758178187,0.5
"Thinking about that time Blizzard had the brilliant idea to change everyone 's name on their forums to their real names . God , what an idea that was .",1,0.6404040679335594,0.25955088081762234,0.5
Today my pop-pop told me I was not “ forced ” to go to college :upside-down_face: okay sure sureeee,1,0.5642514154314995,0.14447988574915663,0.5
"Wow the Prime Minister is so good at the telling the truth , yet again he just can't stop telling the truth about Brexit !",1,0.6508867889642715,0.24195800861662445,0.5
"Well , I had hoped the election would be called in time for my quarter-century birthday two days ago , but I 'll accept this belated present from my fellow Americans . #BidenHarris2020 #election",0,0.5779052674770355,0.17496946801943888,0.5
"Well , at least the covid situation seems to be improving in time for christmas ...",1,0.7144031673669815,0.2299781983166141,0.5
How is my highest grade in A & P,0,0.4428732693195343,0.2714335398975319,0.5
Tips in hospitality during the festive season make it all worth it !,1,0.5959540978074074,0.2596309395839302,0.5
the time is currently 00:24 and the single thing rattling around in my brain is the noise those door stoppers make . you know the one,0,0.4692681059241295,0.1920513810629277,0.5
dont u just love when u get ready for a cancelled date two hours early . . . yeah i wasnt excited or anything,1,0.5738146547228098,0.3226632524839847,0.5
"So you can't really get huckleberries outside of MT / WY area because they 're hard to cultivate and need to be picked by hand at high altitudes , making them ~ $ 65 / lb . But bears love em and will go to town and eat like $ 300 of huckleberries in a sitting and I love thinking about that",0,0.5402764603495598,0.19208674708497822,0.5
When I grow up I wanna be a sociopath,1,0.599971279501915,0.2687217260042847,0.5
Halfway through snowboarding day 1 and pretty sure I have fallen at least 69 times :grinning_squinting_face: :Cancer:,1,0.5760789662599564,0.2629300582580276,0.5
dogs and cats are happy animals . i pity anyone who can not love upon these magical creatured because of allergies . only heathens dislike them . i can not be a part of a friendship where the alternate person has even the slightest disinterest in them .,0,0.6252375394105911,0.24148177381545688,0.5
Can a burrito change the world ? Do n't miss Chipotle 's first Game Day commercial HTTPURL #bonuspoints,0,0.5847317278385162,0.19221045429440567,0.5
Wow ... the universe gave me the task of a potty training a whole human ? the audacity .,1,0.5434995070099831,0.20101614886989394,0.5
please i just want a gp that can prescribe me my bridging hormones,0,0.5515497177839279,0.2511328930623393,0.5
Lol at my life :),1,0.5391390454024076,0.3197579929099108,0.5
"Having a really busy day , might only manage the one box set today",1,0.613248236477375,0.3624004170653825,0.5
Ahhh I get to listen to a cement mixer all day . Awesome .,1,0.5894462019205093,0.17908755411740712,0.5
I 've been laid off ! ! Nice :) ),1,0.5573905482888222,0.2627160383261576,0.5
This is so good HTTPURL,0,0.45661591552197933,0.29012926852263243,0.5
"Boy , I sure do love being constantly misgendered by my cis relatives at family gatherings :upside-down_face:",1,0.5863451287150383,0.3200644872821231,0.5
