tweet,label,mean_confidence,variability,mean_correctness,correctnesses
I wish it was January already ... Not because of school but because I 'm having major withdrawals #Arrow  fair wtfwasthat,0,0.4051305055618286,0.15065193804113702,0.25,"[0, 0, 1, 0]"
"The city is flying , we 're fighting robots , and I have a bow and arrow . Classic",0,0.5010545216500759,0.21866691090425752,0.25,"[0, 0, 1, 0]"
"@USER : If you 're loving this game , we 've got a few desserts you might enjoy . #Turnovers #OREvsFSU even Arby 's is talking smack to FSU",0,0.5480569452047348,0.26181270361836967,0.25,"[0, 0, 1, 0]"
"To all those who held back in #2014 start again in #2015 as .. "" @USER : It 's never too late to start ! HTTPURL """,0,0.49227527854964137,0.33864670943731945,0.25,"[0, 0, 1, 0]"
@USER  another Bush in the Whitehouse .,0,0.49618130922317505,0.29672783575567624,0.25,"[0, 0, 0, 1]"
Go go Power Rangers ! #f2xmasparty  HTTPURL,1,0.49708278477191925,0.18728501580383866,0.25,"[0, 0, 0, 1]"
Welcome to the UK there is no money to allow the poorest people in the country to maintain Â£ 20 a week to aid living but were here to write off Â£ 4.3 billion in fraud money .,1,0.4231786597520113,0.34399251764415245,0.25,"[0, 0, 0, 1]"
does anyone else hate hearing their own voice I sound so aids,0,0.4131428226828575,0.35969604001557653,0.25,"[0, 0, 0, 1]"
@USER I mean that all matter this game ,1,0.4761819541454315,0.2863375117380978,0.25,"[0, 0, 1, 0]"
Just forced myself to go to class and spilt hot coffee in my lap while driving . How 's your day going ? :grinning_face_with_sweat:,0,0.45382365584373474,0.30937276408009123,0.25,"[0, 0, 0, 1]"
For those of you that LOVE this time of year .  HTTPURL,1,0.4778694997075945,0.3338834156955555,0.25,"[0, 0, 1, 0]"
It 's all about Twitter  a clue,0,0.4769490861799568,0.33144480834249485,0.25,"[0, 1, 0, 0]"
Ready to conquer the day :winking_face_with_tongue:  @USER #leavemealonemom #my2fave :red_heart: #bahhumbug HTTPURL,1,0.43121817149221897,0.33204229132305924,0.25,"[0, 0, 1, 0]"
As if I did n't know this anyway ! I 'm an Owl according to the #BBCBodyClock quiz â€“ what are you ? HTTPURL,1,0.4185686130076647,0.20857031610783675,0.25,"[0, 0, 1, 0]"
@USER  ___ I love that Song <3,0,0.41971463710069656,0.33625966484762204,0.25,"[0, 0, 0, 1]"
Absolutely disgusting . Tr * mp says he â€œ loves â€ domestic terrorists and spends most of the minute long video complaining about election and not condemning their actions today ? Rot in fucking hell .,0,0.4409695379436016,0.3396954916587404,0.25,"[0, 0, 1, 0]"
rewatching degrassi for the millionth time,1,0.43913694471120834,0.3206530366901984,0.25,"[0, 0, 0, 1]"
"@USER @USER hahaha good 1 , you might own a stadium then rather than the local council ;)",0,0.40558003075420856,0.31226071451552584,0.25,"[0, 0, 0, 1]"
I would like to offer my complete support for the new rules as they have obviously supported the public by sticking to them at all times,1,0.533694826066494,0.19288080288676254,0.25,"[0, 0, 0, 1]"
With no forwards . #confused  sure,0,0.38132246723398566,0.35893438090176494,0.25,"[0, 1, 0, 0]"
@USER to the same sex . ,0,0.37708647176623344,0.1724457494103363,0.25,"[1, 0, 0, 0]"
We live in such a small world these days - the #LAFire is a story at the end of the Australian news @USER,0,0.37483941949903965,0.22528643613784824,0.25,"[1, 0, 0, 0]"
Lol my mom can't text and talk at the same time :grinning_squinting_face:,0,0.47335923463106155,0.29640794096950485,0.25,"[0, 0, 0, 1]"
Fun night with these girls . It may look like we are eating dessert but its just for show  ... HTTPURL,1,0.44669466838240623,0.31416588999725115,0.25,"[0, 0, 1, 0]"
"bye Obama , luv u",0,0.544574573636055,0.25364057237772164,0.25,"[0, 0, 0, 1]"
Nicholas Sparks has been manipulating women to believe that guys ( in reality ) are as sensitive as the male characters in his books . ,1,0.4121825285255909,0.18022229491167382,0.25,"[0, 0, 1, 0]"
Making the most out of my last vacation day .  #tvandsleep,1,0.49511295557022095,0.3173042941592693,0.25,"[0, 0, 0, 1]"
safe to say my life is a lot better HTTPURL HTTPURL,1,0.46310991421341896,0.18436190402566244,0.25,"[0, 0, 0, 1]"
Love it when my mans on a cleaning spree .. Saves me doing it :OK_hand: :face_blowing_a_kiss: :face_blowing_a_kiss: :face_blowing_a_kiss:,0,0.36238514073193073,0.3365149010369268,0.25,"[0, 0, 0, 1]"
Vaccinated this morning . Not sure it 's worked - still committed to Apple and no extra autism detected . Bloody science .,1,0.5122323930263519,0.2572160350881992,0.25,"[0, 1, 0, 0]"
If only clever people actually had the ability to be clever and not repeat everything they think they know,1,0.4215409206226468,0.2832997286195638,0.25,"[0, 0, 1, 0]"
naming my son onickolas in honor of my love for @USER,1,0.36585902888327837,0.3469180487811949,0.25,"[0, 0, 0, 1]"
"Lovely first day of 2015 ; friends , family swim , sort & cleanse , curry , less time on social media , more time on others #startasyoumeantogoon",0,0.3885758360847831,0.37535379312880673,0.25,"[0, 0, 0, 1]"
my friends prof really monetized her lectures on youtube :rolling_on_the_floor_laughing:,0,0.39713566517457366,0.3668960309270708,0.25,"[0, 0, 1, 0]"
Why you gotta take someone pure like Sean Lock from us huh ? Why could n't it be James Corden ?,0,0.46588301518931985,0.3331750423905333,0.25,"[0, 1, 0, 0]"
Connacht Camogie champions 2014 ! 3 years in a row ! Hon HRC ! #MountbellewIsAHurlingStronghold  #HolyRosary4life #SeniorB :grinning_face_with_smiling_eyes: :raising_hands: :trophy: :baseball:,0,0.49985477700829506,0.3044933866441448,0.25,"[0, 0, 0, 1]"
@USER they are all written out in a gold gel pen waiting ! I hate how are relationship consists of twitter messaging  #fulfilling,0,0.3415867993608117,0.3694827571343748,0.25,"[0, 1, 0, 0]"
"me : trying to sleep slightly earlier than usual bc I feel like shit my friend , texting the group chat 13 separate times at nearly 4am : hello I do n't think so ! how abt I tell u abt how bad things are going instead :)",1,0.4039594605565071,0.2647121076946109,0.25,"[0, 1, 0, 0]"
employer : so what are your strengths me : i 'm smart i 'm funny i 'm nice i 'm cool i 'm creative i 'm hardworking i 'm made of wood i 'm honest i 'm fast i 'm awesome i 'm hot i 'm chronically ill i 'm little i 'm in demand i'm,1,0.4925399851053953,0.30858525989375496,0.25,"[0, 1, 0, 0]"
IBIZA HAS JUST BEEN BOOKED AGAIN wohooooooooo :party_popper: :clapping_hands: :party_popper: :clapping_hands:,0,0.4268030524253845,0.3438951798770772,0.25,"[0, 0, 1, 0]"
When your @USER delivery gets stolen by a UK Mail delivery driver and the police know who it is but I still do n't get taken seriously :upside-down_face: :upside-down_face: :upside-down_face:,1,0.4370133951306343,0.33977092309786333,0.25,"[0, 0, 0, 1]"
Up all night took 4 hour nap I 'm ready for work ,1,0.38305934704840183,0.33073751142507934,0.25,"[0, 0, 0, 1]"
"@USER thanks for sharing Mike , your opinion means a lot to us .  #orisit ?",1,0.22912642918527126,0.18305671525054004,0.25,"[0, 0, 1, 0]"
we happy ! ! !,1,0.5273015275597572,0.26447743224154696,0.25,"[0, 0, 0, 1]"
@USER @USER @USER @USER @USER Finally someone is speaking up for the billionaires .,1,0.4351122500374913,0.34345190218041627,0.25,"[0, 0, 0, 1]"
@USER Saturday at 11:00 ? Damn ... there goes my secret news paraphernalia ...  telling,0,0.44195583276450634,0.33254431495550413,0.25,"[0, 0, 0, 1]"
#Work #Trains #TheGrind #London #Business #MyHappyFace  HTTPURL,1,0.44679491221904755,0.3232897020628941,0.25,"[0, 0, 0, 1]"
somebody tell these birds to be quiet because they not listening to me,1,0.4089191071689129,0.3351011388047755,0.25,"[0, 0, 0, 1]"
My gf has been in the Hamptons nannying for a few hours and she has already been to a POLO match . Is she in GOSSIP GIRL ?,1,0.42857736349105835,0.31136697413398845,0.25,"[0, 1, 0, 0]"
gaslight gatekeep girl boss,1,0.4481867365539074,0.29946999657838674,0.25,"[0, 0, 0, 1]"
"Explosions ! Nicely done . Apparently , the Joker & I have a lot in common . That 's ... disconcerting . HTTPURL #Batman #StarTrek",0,0.45148640498518944,0.2751874782288327,0.25,"[0, 0, 0, 1]"
@USER : Adding #traditional makes the statement #legit #justbecause ,1,0.4664589576423168,0.22119181455264567,0.25,"[0, 0, 1, 0]"
#MuslimApologies â€“ 10 Tweets that Explain What Muslims Should be Sorry for ! HTTPURL ,1,0.40072406828403473,0.1754352722064393,0.25,"[0, 0, 1, 0]"
True bliss is laying in an ice cold bath during the hottest part of the year,0,0.5170010067522526,0.27736609275597385,0.25,"[0, 1, 0, 0]"
"So our landlord just brought in new sofas which is lovely but in the process broke a table , someone 's cup and spilt tea on the carpet and left saying â€œ you should probably clean that up â€ thanks Darren ðŸ–•ðŸ¼",1,0.3680976200848818,0.35610099612603474,0.25,"[1, 0, 0, 0]"
Why was I not told Matthew Stafford and Cooper Kupp eat breakfast together before I drafted Robert Woods over him ?,1,0.5549818053841591,0.2391323908419402,0.25,"[0, 0, 0, 1]"
"Contemplating responding to @USER ' s tweet saying "" what remains of their pride "" but not sure how well that will go down ",1,0.39222886599600315,0.35853563332990307,0.25,"[0, 1, 0, 0]"
@USER Yo jim I put my life savings in $ didi at $ 16 as per your request now me and my family are eating MREs in full survival mode What should I do ?,1,0.3389808777719736,0.3771793384441285,0.25,"[0, 0, 1, 0]"
my contact just ripped in my eye ok,0,0.434740649536252,0.33957007730956623,0.25,"[0, 0, 1, 0]"
Lots if love for #Miranda ,1,0.36673505371436477,0.2779285861347812,0.25,"[0, 1, 0, 0]"
I love waking up at 3am feeling like my insides are being chopped into tiny pieces and set on fire .  #killmenow :loudly_crying_face: :kitchen_knife: :fire:,1,0.47873199358582497,0.28429325682149426,0.5,"[1, 0, 0, 1]"
AAP said will declare AK candidate in last list but declared it before.This issue affecting India 's GDP is termed as U-Turn by BJP #AK4Delhi,0,0.5890894085168839,0.23860808995045737,0.5,"[1, 0, 0, 1]"
People in this school seem to amaze me .. ,1,0.6161383129656315,0.3263446482580227,0.5,"[0, 0, 1, 1]"
"@USER : Two years ago i got binoculars from my parents cause I needed to look to the future , I was like cool :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: tweet of the year",0,0.5534404255449772,0.23208112961382715,0.5,"[0, 1, 1, 0]"
imagine being able to sleep haha can't relate,1,0.6947097331285477,0.2314192864631286,0.5,"[0, 0, 1, 1]"
I 'm walking for Citizens Advice in NW Kent . Please help if you can x 2019 London Legal Walk HTTPURL,0,0.5853059813380241,0.27768151067241936,0.5,"[0, 1, 1, 0]"
"Having my first experience of a Whetherspoon hotel tonight and pleased to report that while the bed is comfy , the bathroom smells suspiciously of cider",0,0.6713895350694656,0.21796132782208952,0.5,"[0, 0, 1, 1]"
"@USER @USER @USER outta the boardroom , I to the partay ! ! #luvvit",0,0.6883625611662865,0.2635323034466662,0.5,"[0, 0, 1, 1]"
@USER :blue_heart:,0,0.5718137361109257,0.28975230106982847,0.5,"[0, 1, 1, 0]"
John Stockton in a commercial ? ! ! Holy crap ! #NBABallot,0,0.6785253882408142,0.316519399819848,0.5,"[0, 0, 1, 1]"
"@USER imagine your delivery being 2 hours late , and imagine calling up your service team only for them to hang up at 10pm , coincidentally the same time the office closes . But it 's okay , my Â£ 3 delivery fee is being refunded though ðŸ‘ŠðŸ»",0,0.5436621569097042,0.282766588605934,0.5,"[0, 1, 0, 1]"
Confucius Motivational Quotes FREE ANDROID APP HTTPURL,0,0.5713727623224258,0.3247153006351154,0.5,"[0, 1, 0, 1]"
Does the salad offset the beer ( s ) ?,0,0.48472025245428085,0.3066410843933729,0.5,"[0, 1, 1, 0]"
"@USER whoa ! that 's a little too crazy man , slow down",1,0.5173620153218508,0.29559961194726697,0.5,"[1, 0, 0, 1]"
"OK , OK , GEEZ ! I KNOW ALREADY ! @USER @USER @USER #totally  #repetetive HTTPURL",0,0.5653209462761879,0.1423228000368728,0.5,"[0, 1, 0, 1]"
#Snowden Sad to see intelligent Americans fall victim to the US propaganda machine in this case . So many lies set up to discredit by the US .,0,0.5577559769153595,0.21003443404937597,0.5,"[0, 0, 1, 1]"
Ohio State putting it #OnWisconsin ... No match .,0,0.6652073562145233,0.27817100527432703,0.5,"[0, 0, 1, 1]"
""" Should I wear my lime green pants ? "" dad its 4th of july ...",1,0.42295965552330017,0.21523007000744904,0.5,"[1, 1, 0, 0]"
thank you basketball for the last 10 years and memories with my best friends . thanks to everyone who supported us from 3rd grade to senior year and thanks to the coaches who dealt with us :) one of the hardest goodbyes but so grateful for this sport :yellow_heart: #TogetherWe @USER HTTPURL,0,0.6230839863419533,0.3229902675653221,0.5,"[0, 1, 0, 1]"
MVP goes to Concordia Wifi . ,1,0.43745990097522736,0.348227803623874,0.5,"[1, 0, 0, 1]"
 at peak ! ! ;) HTTPURL,0,0.6732862442731857,0.29581945331768217,0.5,"[0, 0, 1, 1]"
Main issue with the walking dead - you forget to breathe when you 're watching . So bloody good #WalkingDead,0,0.6703614220023155,0.2479856953876633,0.5,"[0, 1, 1, 0]"
"my mom just called the spatula , an â€œ egg flipper â€",0,0.6669048294425011,0.29891386051207264,0.5,"[0, 0, 1, 1]"
@USER now you have a reason to play this HTTPURL,0,0.5980186350643635,0.2913693007090888,0.5,"[0, 0, 1, 1]"
I 've said it before and I 'll say it again but YOUR MENTAL HEALTH IS SO MUCH MORE IMPORTANT THAN A GOOD GRADE,0,0.5714035257697105,0.20357870444452225,0.5,"[0, 0, 1, 1]"
I 'm officially on Twitter ! ## sure what to do after all these pound signs ? ! ? !,0,0.5757029680535197,0.3520115066125355,0.5,"[0, 1, 1, 0]"
"when singing along to songs in Korean and there is a part in English , I sing it with a Korean accent . WHY .",0,0.6853031739592552,0.2668923207135809,0.5,"[0, 0, 1, 1]"
Many people have said â€œ I 'll always be here for you â€ . Only a few have actually meant it & I thank God for those people every day .,0,0.5658476017415524,0.33523024090378484,0.5,"[0, 1, 0, 1]"
"Just noticed that I crossed 500 followers in past month . Guys , I hope you enjoy the sarcasm b / c we all know my value added is nil ",0,0.7094488143920898,0.24591682018262667,0.5,"[0, 0, 1, 1]"
@USER excited for 2015 its gonna be a good year for music ur gonna smash it #Ed :microphone:,0,0.6528675854206085,0.2666474447457309,0.5,"[0, 0, 1, 1]"
#reputation is everything I needed before this 13.5 hour flight .,0,0.6532902121543884,0.2697474959103709,0.5,"[0, 0, 1, 1]"
"@USER Even though @USER ' s got more ex-wives than @USER majors , I 'm happy for that washed-up mess ...  ! ! #Blocked",1,0.6540496274828911,0.31294910388317304,0.5,"[0, 1, 0, 1]"
Urban Glam High Heel Earrings $ 7 | Leave email for invoice HTTPURL,0,0.583230547606945,0.27335158899417417,0.5,"[0, 0, 1, 1]"
@USER @USER Pulled by White Van Man by the looks of it . Yuk .. so naff . That keeps the magic of xmas alive .. ,1,0.6687862351536751,0.2907632553017449,0.5,"[0, 1, 0, 1]"
Refs dashing out yellows to united players for jokes,0,0.6265010945498943,0.3139772894413717,0.5,"[0, 0, 1, 1]"
Long distance relationships are serious SH * t  ayoba ...,0,0.6761063933372498,0.3080342292491238,0.5,"[0, 0, 1, 1]"
"@USER start with India , I need to be somewhere they do n't speak great English so I do n't have to say much lol",0,0.6471713110804558,0.2790066490643503,0.5,"[0, 0, 1, 1]"
i was so bored today that i let my computer restart to install updates :woozy_face:,0,0.6440813690423965,0.274546776585527,0.5,"[0, 0, 1, 1]"
Why did my wife decide we needed a new kitchen ! 2Days to strip the tiles and plywood off ! HTTPURL,0,0.6433508768677711,0.2801141442017223,0.5,"[0, 0, 1, 1]"
Less than 5 minutes after getting my phone back after staff training week at camp I ran my face into a tree branch whilst texting,0,0.5634349463507533,0.35071511545575057,0.5,"[0, 1, 1, 0]"
