tweet,label_sarcasm,mean_confidence_sarcasm,variability_sarcasm,mean_correctness_sarcasm,correctnesses_sarcasm,label_mix,mean_confidence_mix,variability_mix,mean_correctness_mix,correctnesses_mix
gotta love living in a country where it 's easier to get an AR - 15 than it is to get coronavirus testing :smiling_face_with_heart-eyes: :squinting_face_with_tongue:,1,0.3760791793465614,0.101981598100319,0.0,"[0, 0, 0, 0]",1,0.8459365889430046,0.2157858248464971,0.75,"[0, 1, 1, 1]"
I love when I start choking on my water in my 8 person class,1,0.3367673046886921,0.1088895920603198,0.0,"[0, 0, 0, 0]",1,0.7202186360955238,0.2228892402085812,0.75,"[0, 1, 1, 1]"
I heard somebody unironically say Daddy God in a prayer today and akslfljsd why are Christians so cringey sometimes :loudly_crying_face:,0,0.3007449135184288,0.1256376158304132,0.0,"[0, 0, 0, 0]",0,0.7715856432914734,0.0727026705582569,1.0,"[1, 1, 1, 1]"
Gosh sunderland twitter is a fun place to be tonight is n't it . One game . One game ! ! !,1,0.3896109610795975,0.0726558817149205,0.0,"[0, 0, 0, 0]",1,0.7571185678243637,0.2140818789149846,0.75,"[0, 1, 1, 1]"
@USER ye,0,0.355198118602857,0.1986405342565449,0.0,"[0, 0, 0, 0]",0,0.9401369988918304,0.048206565698913,1.0,"[1, 1, 1, 1]"
@USER ye,0,0.355198118602857,0.1986405342565449,0.0,"[0, 0, 0, 0]",0,0.8235229253768921,0.11850067466051,1.0,"[1, 1, 1, 1]"
Not at all concerning that a man 's just been round to fiddle with the boiler and now he 's left the carbon monoxide alarm wo n't stop beeping,1,0.3779233023524284,0.1464256150413309,0.25,"[0, 1, 0, 0]",1,0.8234740570187569,0.2668443020204363,0.75,"[0, 1, 1, 1]"
it 'd be nice if missguided actually had stock for once :slightly_smiling_face: :slightly_smiling_face: :slightly_smiling_face:,1,0.4561442509293556,0.0992982453506734,0.25,"[0, 1, 0, 0]",1,0.7318970784544945,0.2333451535107842,0.75,"[0, 1, 1, 1]"
"Really looking forward to going Christmas shopping with my anti-vax , anti-mask , global conspiracy believing sister this weekend .",1,0.5218326076865196,0.2739377845931413,0.25,"[0, 0, 0, 1]",1,0.6604099497199059,0.2340677620677116,0.75,"[0, 1, 1, 1]"
my favorite thing about my grandparents is that they 're so afraid to talk about me being gay that our catch up phone calls are incredibly short :heart_with_arrow:,1,0.4649682641029358,0.0797753790132511,0.25,"[0, 1, 0, 0]",1,0.6024885196238756,0.3881011097448429,0.5,"[0, 0, 1, 1]"
"cold ears ? take out one AirPod , leave it by the stove , and forget about it for 20 minutes :hugging_face:",1,0.4796081185340881,0.1475809909514962,0.25,"[0, 0, 0, 1]",1,0.595388151705265,0.315742037830356,0.5,"[0, 0, 1, 1]"
Schadenfreude x,1,0.4925848022103309,0.1364618196195643,0.25,"[0, 0, 0, 1]",1,0.7310383692383766,0.2885162493600907,0.75,"[0, 1, 1, 1]"
"@USER "" But it 's a deterrent "" :face_with_rolling_eyes:",1,0.4488490261137485,0.1456924397664246,0.25,"[0, 0, 1, 0]",1,0.5307209193706512,0.3217950873848572,0.5,"[0, 1, 1, 0]"
“ it 's hotter in the america right now and it feels fine british people are just being dramatic :face_with_rolling_eyes: ” QUICK ARE YOU SAYING THIS INSIDE UR AIR CONDITIONED HOUSE :double_exclamation_mark: :double_exclamation_mark: :double_exclamation_mark:,1,0.5507562160491943,0.2189643485198475,0.25,"[0, 0, 1, 0]",1,0.6641009449958801,0.2856083419791785,0.5,"[0, 1, 0, 1]"
2 x sand eating toddlers for sale . No previous owners . DM for details x,1,0.5046146735548973,0.1333418939599326,0.25,"[0, 0, 0, 1]",1,0.6284498013556004,0.2985319073394277,0.75,"[0, 1, 1, 1]"
I swear this triller event is run by teenagers,1,0.5162515342235565,0.2035793114814279,0.25,"[0, 0, 0, 1]",1,0.8362312167882919,0.2011951389148457,0.75,"[0, 1, 1, 1]"
its 3 30 am and I have decided the only redeeming quality of a male is that I can put my freezing cold toes on him and leach his warmth,1,0.484348900616169,0.1652523155790872,0.25,"[0, 0, 1, 0]",1,0.7405693829059601,0.2421381076773423,0.75,"[0, 1, 1, 1]"
Man I just love it when I 'm forced to pitch two games back to back bc our other pitcher did n't show up,1,0.3428502716124058,0.1525630998531452,0.25,"[0, 1, 0, 0]",1,0.8113870769739151,0.2805292783390737,0.75,"[0, 1, 1, 1]"
The phrase “ the white people of black people ” was coined to explain cishet black men 's privilege over other identities within the black community . Not to just throw around when y'all are annoyed / hateful :face_with_rolling_eyes:,0,0.4710067510604858,0.141034478425048,0.25,"[0, 0, 1, 0]",0,0.648224800825119,0.2273887594932774,0.5,"[0, 1, 0, 1]"
Ca n't wait to be back at uni so I can order more shoes and clothes without my mum telling me off x,1,0.4732608087360859,0.1731939502322197,0.25,"[0, 0, 0, 1]",1,0.9029785990715028,0.1312206658418525,1.0,"[1, 1, 1, 1]"
"just asked a patient if she 'd like to schedule for the same time next week and she said "" no , but it was nice meeting you . "" well ... fair enough :grinning_face_with_sweat:",0,0.5077949091792107,0.2011577249053977,0.25,"[0, 0, 1, 0]",0,0.849540539085865,0.228280447574908,0.75,"[0, 1, 1, 1]"
How do I stop thinking literally everything is corny ? ?,0,0.5048703663051128,0.242486684910319,0.25,"[0, 0, 1, 0]",0,0.7269962504506111,0.2181298300712713,0.75,"[1, 0, 1, 1]"
"Oops I watched a video about a service dog , started to cry , and now can not stop hugging my pup so I 'm just going to have to call it a day",0,0.4852144569158554,0.2758709864987347,0.25,"[0, 0, 1, 0]",0,0.8477909713983536,0.1773888280946874,1.0,"[1, 1, 1, 1]"
I 'm gonna have a breakdown .,0,0.535556748509407,0.1397504659497027,0.25,"[0, 0, 0, 1]",0,0.8209364265203476,0.1335178011689976,1.0,"[1, 1, 1, 1]"
my favorite brand of old people are the ones who work as tour guides at national parks,0,0.502572238445282,0.1063071039596241,0.25,"[0, 0, 1, 0]",0,0.7015583887696266,0.2888363691953564,0.5,"[0, 0, 1, 1]"
I hate when people rag on Arthur 's name without knowing the meaning behind it . Arthur was named after Mikeys great great uncle who committed suicide at the age of 30 . Grandpa says he was one of the most generous men he ever knew and was a very special guy to grandpa :yellow_heart:,0,0.5315135642886162,0.1996143028633992,0.25,"[0, 0, 0, 1]",0,0.791012167930603,0.1060707327444274,1.0,"[1, 1, 1, 1]"
"How this is n't just Cowboy Bark listed 100000 times , I 'll never know . Nevertheless , an A + + + thread HTTPURL",0,0.4392334669828415,0.115652183254675,0.25,"[0, 1, 0, 0]",0,0.8131710886955261,0.0888666273980061,1.0,"[1, 1, 1, 1]"
"After my Holland & Barrett parcel was damaged on its way to me , I had to send probably the most middle class e-mail of my life , asking them to please resend the order ASAP as I was running out of kombucha .",0,0.3819723762571811,0.1855453639794528,0.25,"[0, 1, 0, 0]",0,0.6132198870182037,0.2293639940295222,0.5,"[0, 0, 1, 1]"
happy birthday gorgeous ! have an amazing day i love you ! ! :beating_heart: :beating_heart: @USER,0,0.5896320715546608,0.2063320242867749,0.25,"[0, 0, 0, 1]",0,0.7138320729136467,0.1783094222913765,0.75,"[1, 0, 1, 1]"
"It was bad enough when some corporate wankers took one of the trains I used to drive and made it a "" breakout area "" for their offices , but this ? This is next level HTTPURL HTTPURL",0,0.5547659024596214,0.2017092659528539,0.25,"[0, 0, 0, 1]",0,0.9561345726251602,0.0374951574877485,1.0,"[1, 1, 1, 1]"
grimes was the vibe for this evening,0,0.56439009308815,0.2315602306775847,0.25,"[0, 0, 0, 1]",0,0.7048159688711166,0.28360352291793,0.75,"[1, 0, 1, 1]"
"@USER That John Carpenter :videocassette: selection T is pure class . Yes , I 'll take that one , please :heart_suit:",0,0.4899786040186882,0.1684558311582822,0.25,"[0, 0, 0, 1]",0,0.9069736748933792,0.0734316696517961,1.0,"[1, 1, 1, 1]"
If Nick Lachey wins TMS I will be so bitter .,0,0.5415336638689041,0.2518628386087629,0.25,"[0, 0, 0, 1]",0,0.7959102094173431,0.1915742070906196,0.75,"[0, 1, 1, 1]"
I think France will win #Euro2016 . Predict who will flop and come out on top at HTTPURL HTTPURL,0,0.5145225450396538,0.2217739169347148,0.25,"[0, 0, 0, 1]",0,0.8641697019338608,0.1733422782249758,1.0,"[1, 1, 1, 1]"
"Happy new month to all my Mutuals and Friends on here , wishing us all good health and more financial breakthrough this month .",0,0.5876291915774345,0.2256904194475606,0.25,"[0, 0, 0, 1]",0,0.8010520190000534,0.1491476636772999,1.0,"[1, 1, 1, 1]"
"If I was a wealthy Boomer and I saw a bunch of angry Millennials coming for my money , I 'd be nervous . We already killed Applebee 's , we will kill again #EatTheRich",0,0.4896911904215812,0.0900267435594464,0.25,"[0, 1, 0, 0]",0,0.8702950924634933,0.1347581521411274,1.0,"[1, 1, 1, 1]"
Every day Spotify insists I listen to ‘ coconut ' by Harry Nilsson but I do n't ever have the heart to skip it so the cycle continues and the algorithm becomes further entrenched,0,0.5884616374969482,0.2040002574982541,0.25,"[0, 0, 1, 0]",0,0.7966278940439224,0.1951756178923349,1.0,"[1, 1, 1, 1]"
Omg my dog just scrolled through my emails with his nose and I 've never seen anything CUTERRRRR :weary_face: :smiling_face_with_heart-eyes:,0,0.5162726417183876,0.2822215912784383,0.25,"[0, 0, 0, 1]",0,0.8316746205091476,0.1548968318892773,1.0,"[1, 1, 1, 1]"
Do the people on love island not feel so awkward meeting their partners parents in a bloody bikini ? !,0,0.5425441563129425,0.2526889276918683,0.25,"[0, 0, 0, 1]",0,0.5588534520938993,0.3337617079566077,0.75,"[1, 1, 1, 0]"
"Ok but seriously . Why did Hasting 's go back to Carmichael and tell her ? Setting her up for the next season ? Or am I just clutching at straws ? ! Considering he was appealing too ? Surely there 's another one , it did n't tie the ends up it asked more questions ! Thurwell was n't dead ? !",0,0.5735188722610474,0.224270883974818,0.25,"[0, 0, 0, 1]",0,0.6039260169491172,0.3168427203979955,0.75,"[1, 1, 0, 1]"
I entered @USER HUGE BACK TO SCHOOL GIVEAWAY to win a macbook pro & tons of other prizes ! CHECK IT OUT HERE ! HTTPURL #grav3yardgirl,0,0.4963318333029747,0.2792541519811537,0.25,"[0, 0, 0, 1]",0,0.4975987076759338,0.1917289526597682,0.5,"[1, 0, 1, 0]"
YouTube just gave me a gamer targeted covid vaccine ad and anyway get vaccinated gamers .,0,0.5488211810588837,0.2546902136373806,0.25,"[0, 0, 0, 1]",0,0.6000018678605556,0.2405913586101311,0.75,"[1, 1, 1, 0]"
"When someone puts on too much perfume I would say nice perfume , how long did you let it marinate ? ? ? Tt",1,0.3957004994153976,0.1416419664326853,0.25,"[1, 0, 0, 0]",1,0.8548847287893295,0.2098921852609889,0.75,"[0, 1, 1, 1]"
"every Tom Holland movie i 've seen is a masterpiece , i do n't think it 's coincidence . anyways watch Cherry on apple TV and The Devil All The Time on Netflix",0,0.5871816053986549,0.2339286907580156,0.25,"[0, 0, 0, 1]",0,0.8757420033216476,0.1369263701086183,1.0,"[1, 1, 1, 1]"
i 'm gonna be real i voted weeks ago and i 'm lowkey sad i do n't get a sticker :disappointed_face:,0,0.5576802045106888,0.1805977669996759,0.25,"[0, 0, 0, 1]",0,0.7286400273442268,0.2301067229009202,0.75,"[1, 1, 1, 0]"
I can't believe omicron is an anagram of no crimbo ! The government designed this covid variant just in time for christmas !,1,0.5223595909774303,0.2767565885592935,0.25,"[0, 0, 0, 1]",1,0.8106562569737434,0.2575837574744947,0.75,"[0, 1, 1, 1]"
Love how Kingston just ripped the buckle pad off #AEWAllOut,0,0.4335458539426327,0.1460475649581207,0.25,"[0, 1, 0, 0]",0,0.7505431845784187,0.2308433417220512,0.75,"[1, 1, 0, 1]"
@USER My neice ( 4 or 5 at the time ) * loved * playing Mario Kart 8 with her dad using the acceleration and steering assists . Before that she was mostly a spectator while he played kid-friendly games like Ape Escape .,0,0.4302184134721756,0.2627643917917328,0.25,"[0, 0, 1, 0]",0,0.9019721001386642,0.1206076746099362,1.0,"[1, 1, 1, 1]"
Keanu reeves is killing his role in ozark season 3,1,0.5149796307086945,0.3113258560705851,0.25,"[0, 0, 0, 1]",1,0.5594352632761002,0.2157471851894722,0.5,"[0, 1, 0, 1]"
Ahhh I get to listen to a cement mixer all day . Awesome .,1,0.5637563616037369,0.2485543782274049,0.25,"[0, 0, 0, 1]",1,0.6987807750701904,0.1946108568861917,0.75,"[0, 1, 1, 1]"
Great time for sim and I to have our weekly life update ... :first_quarter_moon_face: :last_quarter_moon_face: :koala: ( closest thing to an owl ) :zzz: :zzz: :zzz: :sleeping_face:,1,0.5534422919154167,0.1638756575979109,0.25,"[0, 0, 1, 0]",1,0.5082516875118017,0.3942008707058795,0.5,"[0, 0, 1, 1]"
"Wow , work is just so rewarding and fulfilling right now",1,0.5418571680784225,0.2213679380681518,0.25,"[0, 0, 0, 1]",1,0.6961983814835548,0.1998795406730424,0.75,"[0, 1, 1, 1]"
"oh sure , the mic 'd up pitcher at the MLB all-star game can say “ god dammit ” but when my 13 year old softball player says it she gets a “ language warning ” :face_with_tears_of_joy:",1,0.316565478220582,0.2691686647788083,0.25,"[0, 1, 0, 0]",1,0.6570278033614159,0.2649046565689024,0.75,"[0, 1, 1, 1]"
"@USER @USER Let 's listen to Dylan Petit over actually doctors , biologists and epidemiologists . :face_with_rolling_eyes:",1,0.5974062979221344,0.2196442455437383,0.25,"[0, 0, 0, 1]",1,0.8269712701439857,0.2150561764435601,0.75,"[0, 1, 1, 1]"
Tell the liverpool players to get some beers and just sit on the grass for the full 90 mins . Let leeds score as many goals as they want . oEuropeanSuperLeague,1,0.4291496351361274,0.1192504333401973,0.25,"[0, 0, 1, 0]",1,0.7498456761240959,0.2710353906813474,0.75,"[0, 1, 1, 1]"
love getting assignments at 6:25 pm on a Friday ! !,1,0.4277192130684852,0.1619626758879923,0.25,"[0, 0, 0, 1]",1,0.8031063973903656,0.2270832073886399,0.75,"[0, 1, 1, 1]"
@USER Based confidence and believing in proper eye contact-pilled !,1,0.5542778894305229,0.2602122323276841,0.25,"[0, 0, 0, 1]",1,0.6695414781570435,0.2341964250770916,0.5,"[0, 1, 1, 0]"
hot girls have tree shaped dents in their rear bumpers :red_heart:,1,0.4908128976821899,0.1825744451788525,0.25,"[0, 0, 1, 0]",1,0.7727450206875801,0.3129921684458558,0.75,"[0, 1, 1, 1]"
Been trying to get my boyfriends attention . Let 's see how long it takes for him to see this tweet tho .,1,0.5333818718791008,0.2691689255013687,0.25,"[0, 0, 0, 1]",1,0.7882419377565384,0.212070260101241,0.75,"[0, 1, 1, 1]"
If you ever wanted to know what it feels like to have dyslexia I would recommend the book House of Leaves .,1,0.4977029263973236,0.070193740912496,0.25,"[0, 0, 0, 1]",1,0.6358088776469231,0.2673516267857236,0.5,"[0, 1, 0, 1]"
tanning in this heat is an extreme sport,1,0.5391576141119003,0.2083992067332835,0.25,"[0, 0, 0, 1]",1,0.5367529690265656,0.1615929015957477,0.5,"[0, 0, 1, 1]"
I 've seen a lot of people on local Facebook groups asking AirBnB owners if they have any availability recently . If only there was a website you could use to find out if an AirBnB was available :thinking_face:,1,0.4832071755081415,0.3235357621209335,0.25,"[0, 0, 0, 1]",1,0.7126211524009705,0.1753098755154583,1.0,"[1, 1, 1, 1]"
As if I did n't know this anyway ! I 'm an Owl according to the #BBCBodyClock quiz – what are you ? HTTPURL,1,0.4985572770237922,0.2555045110839118,0.25,"[0, 0, 0, 1]",1,0.5606713928282261,0.3265922095671485,0.5,"[0, 1, 0, 1]"
@USER Make your husband agree to let you die first . FUN date topic for discussion,1,0.516184862703085,0.2662947312167738,0.25,"[0, 0, 0, 1]",1,0.7533199787139893,0.3599882773642842,0.75,"[0, 1, 1, 1]"
My eldest is having a wild Friday night out . She 's going to bingo . :face_with_tears_of_joy:,1,0.5766334906220436,0.1953822663756886,0.25,"[0, 0, 1, 0]",1,0.5214396161027253,0.34299148893053,0.5,"[0, 1, 1, 0]"
My eldest is having a wild Friday night out . She 's going to bingo . :face_with_tears_of_joy:,1,0.5766334906220436,0.1953822663756886,0.25,"[0, 0, 1, 0]",1,0.6732255592942238,0.3213228151140838,0.5,"[0, 1, 0, 1]"
who thinks me and sam should start a band called ' teeth at midnight ' :tooth: :crescent_moon:,1,0.5065051764249802,0.2945373712801067,0.25,"[0, 0, 0, 1]",1,0.6926076412200928,0.2485222296361163,0.75,"[0, 1, 1, 1]"
where can I hand my notice in for mental illness ? been working at the same thing for way too long and it 's time for a change .,1,0.6073961555957794,0.2224949725759533,0.25,"[0, 0, 0, 1]",1,0.6221473962068558,0.2335393605341471,0.5,"[0, 1, 0, 1]"
"They had 5 turnovers and we needed to capitalize on them , this whole season we said we needed touchdowns instead of field goals",0,0.6074819639325142,0.2242296550121909,0.25,"[0, 0, 0, 1]",0,0.8394669890403748,0.1744310048261183,1.0,"[1, 1, 1, 1]"
Man I miss my friends :(,0,0.4681516475975513,0.3031906374706373,0.25,"[0, 0, 0, 1]",0,0.8113207966089249,0.2223326323824304,0.75,"[0, 1, 1, 1]"
"Lucky for 2nd placed Brentford that there 's no stand out team like Leeds this year , or they might have no chance of winning the league . #ncfc",1,0.4954890981316566,0.1853142999933335,0.25,"[0, 0, 1, 0]",1,0.7801119685173035,0.2074297392762053,0.75,"[0, 1, 1, 1]"
"Yes , I am taking royalties for the phrase “ Thiccle Mistress , which I definitely just made up - thanks for asking",0,0.4997112713754177,0.2586173933738543,0.25,"[0, 0, 0, 1]",0,0.6219827309250832,0.2781946447844562,0.75,"[1, 1, 1, 0]"
"@USER imagine your delivery being 2 hours late , and imagine calling up your service team only for them to hang up at 10pm , coincidentally the same time the office closes . But it 's okay , my £ 3 delivery fee is being refunded though 👊🏻",0,0.52842016518116,0.2667816574861701,0.25,"[0, 0, 0, 1]",1,0.7914902195334435,0.2962998137495885,0.75,"[0, 1, 1, 1]"
"@USER imagine your delivery being 2 hours late , and imagine calling up your service team only for them to hang up at 10pm , coincidentally the same time the office closes . But it 's okay , my £ 3 delivery fee is being refunded though 👊🏻",0,0.52842016518116,0.2667816574861701,0.25,"[0, 0, 0, 1]",0,0.8158842325210571,0.2360374349841931,0.75,"[0, 1, 1, 1]"
"@USER imagine your delivery being 2 hours late , and imagine calling up your service team only for them to hang up at 10pm , coincidentally the same time the office closes . But it 's okay , my £ 3 delivery fee is being refunded though 👊🏻",0,0.52842016518116,0.2667816574861701,0.25,"[0, 0, 0, 1]",0,0.897593080997467,0.1485602341561349,1.0,"[1, 1, 1, 1]"
"@USER imagine your delivery being 2 hours late , and imagine calling up your service team only for them to hang up at 10pm , coincidentally the same time the office closes . But it 's okay , my £ 3 delivery fee is being refunded though 👊🏻",0,0.52842016518116,0.2667816574861701,0.25,"[0, 0, 0, 1]",0,0.7498336583375931,0.1443263910131301,1.0,"[1, 1, 1, 1]"
This is my buddy @USER . He is a deep thinker . #Nashville #BaileysfantasycampTN @USER @USER HTTPURL,0,0.442432276904583,0.1561711497373344,0.25,"[0, 1, 0, 0]",0,0.7301662266254425,0.3352579134244137,0.75,"[1, 0, 1, 1]"
I wish I had a green thumb,0,0.421172474976629,0.2967325391764067,0.25,"[0, 0, 1, 0]",0,0.6539803296327591,0.2265001598964099,0.75,"[1, 1, 0, 1]"
me and my gf are on a reality tv show binge lately does anyone have any suggestions for particularly Unhinged reality shows,0,0.4405682757496834,0.0642372448425609,0.25,"[0, 0, 0, 1]",0,0.9085187464952468,0.0745506107012105,1.0,"[1, 1, 1, 1]"
I 'm defending the land I have left . Click HTTPURL to do the same . HTTPURL,0,0.5609856843948364,0.2601396138108062,0.25,"[0, 0, 0, 1]",0,0.9708548337221146,0.019746267190761,1.0,"[1, 1, 1, 1]"
Do n't understand the scoring on #AllStarMusicals ? How has everyone got 10s apart from Barney ? His was the best so far by quite a bit,0,0.5024370066821575,0.2893479045886172,0.25,"[0, 0, 0, 1]",0,0.8360983282327652,0.1615334895005087,1.0,"[1, 1, 1, 1]"
i want :( a corn dog :( ( so bad wtf :( ( (,0,0.3939075395464897,0.0959488139812765,0.25,"[0, 0, 0, 1]",0,0.8450166881084442,0.1715853365525066,1.0,"[1, 1, 1, 1]"
Amazing ! Simply amazing . Well done Sky Brown . You are an inspiration to all of us . HTTPURL,0,0.3999409712851047,0.2827242967788654,0.25,"[0, 1, 0, 0]",0,0.844904437661171,0.1124557047300504,1.0,"[1, 1, 1, 1]"
@USER @USER I 've done this to my employer too . I 'm expecting we 'll both get the same answer,1,0.3215661663562059,0.1830510823706004,0.25,"[1, 0, 0, 0]",1,0.7090521268546581,0.2842684459184111,0.75,"[0, 1, 1, 1]"
"do n't cry because it happened , smile because it 's over <3",1,0.5612223222851753,0.2454774750839732,0.25,"[0, 0, 0, 1]",1,0.7844903618097305,0.1462746290853512,1.0,"[1, 1, 1, 1]"
Happy 45th birthday Chester Bennington ! We wish we could have celebrated today with you . You will always be in our hearts . #linkinparkforlife #ChesterBennington #HappyBirthday #LinkinPark #SuicidePrevention #wewillalwaysloveyou,0,0.5446022152900696,0.2350136383931452,0.25,"[0, 0, 1, 0]",0,0.526142262853682,0.3314840448262222,0.75,"[1, 0, 1, 1]"
"“ tit for tat , butter for fat , you kill my dog , i eat your cat ” is a liberian proverb for “ an eye for an eye ” . my ancestors were spittin '",1,0.4665322005748749,0.2281659317800102,0.25,"[0, 1, 0, 0]",1,0.693768821656704,0.2667515643668501,0.5,"[0, 0, 1, 1]"
somebody tell these birds to be quiet because they not listening to me,1,0.5180066153407097,0.2620132034144649,0.25,"[0, 0, 0, 1]",1,0.6133093982934952,0.2900959892546708,0.5,"[0, 1, 0, 1]"
"Oh , no , totally , do n't wear a mask and cough and splutter around me . COVID 'll be a fun little time ..",1,0.4755808040499687,0.2197685821280012,0.25,"[0, 0, 1, 0]",1,0.7392327189445496,0.1819672932936007,0.75,"[0, 1, 1, 1]"
@USER @USER @USER @USER @USER Finally someone is speaking up for the billionaires .,1,0.5134202279150486,0.2298132486615926,0.25,"[0, 0, 1, 0]",1,0.6953704571351409,0.380272746351207,0.75,"[0, 1, 1, 1]"
I 'm in Canada so like Happy 4rth ?,1,0.4931753017008304,0.2263331060335869,0.25,"[0, 0, 1, 0]",1,0.7126746624708176,0.104548620407945,1.0,"[1, 1, 1, 1]"
"The irony of being asked to write an "" immaginary "" sarcastic tweet with "" imaginary "" incorrectly spelled ...",1,0.5659268349409103,0.2369646025102904,0.25,"[0, 0, 0, 1]",1,0.8046825528144836,0.207729241981631,0.75,"[0, 1, 1, 1]"
"The fact that people still do n't get that you need to distance , wear a mask , and generally pay attention to your hygiene this far into a pandemic gives me great confidence in the future of humanity .",1,0.5224568843841553,0.2406479851042388,0.25,"[0, 0, 0, 1]",1,0.8388608321547508,0.2148033372858912,0.75,"[0, 1, 1, 1]"
Someone should 've had me committed the day I decided to buy a pair of non-stretch denim jeans,1,0.5076456349343061,0.3155123165229782,0.25,"[0, 0, 0, 1]",1,0.7839350998401642,0.217189755873197,0.75,"[0, 1, 1, 1]"
Do n't let people walk all over you . Or breathe on you . Either one .,1,0.4779121950268745,0.2756834409211037,0.25,"[0, 0, 1, 0]",1,0.5129268765449524,0.3329565970035064,0.5,"[0, 1, 1, 0]"
"@USER @USER @USER @USER It 's probably something closer to Xenophobia . Which is someone hating someone else just because they 're foreign . I mean , you are an English teacher , are n't you ? Figured you might know that .",0,0.6088525354862213,0.1943847226578801,0.5,"[0, 0, 1, 1]",0,0.8672302812337875,0.0826325739862452,1.0,"[1, 1, 1, 1]"
"It 's my last full week of working from home :persevering_face: Now it 's almost here , I do n't think I 'm ready to go back to the office",0,0.4094428978860378,0.1253831735315981,0.5,"[1, 1, 0, 0]",0,0.7767842262983322,0.1691392008524862,1.0,"[1, 1, 1, 1]"
@USER Mr Shatner whilst you were sleeping you asked me to join Facebook messenger and then after a polite conversation you then offered me gold necklaces and a singed ( sic ) tee-shirt - you made my Friday night sir ... just awaiting your instructions so I can wire the money ...,1,0.6149401962757111,0.1746522451366961,0.5,"[0, 0, 1, 1]",1,0.6980427876114845,0.2049550384948407,0.75,"[0, 1, 1, 1]"
Great start to the day Neros was shut and now I 'm going akip on the bus :sleeping_face: :dizzy_face:,1,0.689965158700943,0.2256733386442299,0.5,"[0, 0, 1, 1]",1,0.7557211667299271,0.2911839052340205,0.75,"[0, 1, 1, 1]"
"If you invite me to something with a Google Calendar invite , know that I will always join via the Google Meet link . Do n't try to add other links in notes ; learn how to use the software and then holla at me",0,0.605479933321476,0.2113974092842182,0.5,"[1, 0, 0, 1]",0,0.8920997679233551,0.0909780002827271,1.0,"[1, 1, 1, 1]"
why are salads so expensive ? ! It 's like I 'm being punished for tryna eat healthy ...,0,0.4923984855413437,0.0755134606336631,0.5,"[1, 1, 0, 0]",0,0.764451414346695,0.1848216295550539,1.0,"[1, 1, 1, 1]"
cant wait to dance with harry styles and the delta variant at their concert in november ! !,1,0.4256348013877868,0.1766725685846578,0.5,"[0, 1, 1, 0]",1,0.6690080985426903,0.2941255886345963,0.5,"[0, 1, 0, 1]"
@USER Defrost the freezer with the cast of Hollyoaks . Any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jars . Magic .,1,0.6312502697110176,0.1442808422302297,0.5,"[0, 0, 1, 1]",1,0.5359825044870377,0.2276249952882216,0.5,"[0, 1, 0, 1]"
RIP spider man :skull: HTTPURL,0,0.5171173810958862,0.1806454057408326,0.5,"[1, 0, 1, 0]",0,0.908872053027153,0.0541782497464308,1.0,"[1, 1, 1, 1]"
"Fav this and I wo n't send you a name of a random person , I 'll just get a fav on my tweet",1,0.6255416721105576,0.1915234225845217,0.5,"[0, 0, 1, 1]",1,0.7386002689599991,0.2648573838650074,0.75,"[0, 1, 1, 1]"
